"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","2,205.00","2,180.80","2,215.90","2,158.95","726.48K","1.11%"
"02/19/2025","2,180.80","2,166.00","2,219.40","2,127.00","1.20M","-1.78%"
"02/18/2025","2,220.30","2,240.00","2,240.00","2,166.05","1.14M","-0.15%"
"02/17/2025","2,223.70","2,152.65","2,240.40","2,110.65","1.40M","3.30%"
"02/14/2025","2,152.65","2,245.70","2,249.30","2,124.55","2.55M","-4.10%"
"02/13/2025","2,244.70","2,354.00","2,372.75","2,233.40","2.55M","-4.62%"
"02/12/2025","2,353.45","2,325.00","2,378.45","2,281.00","1.93M","1.37%"
"02/11/2025","2,321.75","2,312.00","2,397.00","2,306.00","4.90M","1.35%"
"02/10/2025","2,290.80","2,350.00","2,350.95","2,280.10","739.71K","-2.05%"
"02/07/2025","2,338.80","2,312.45","2,374.90","2,307.35","892.90K","1.14%"
"02/06/2025","2,312.45","2,340.00","2,340.00","2,298.20","680.54K","-0.52%"
"02/05/2025","2,324.60","2,314.95","2,349.40","2,309.05","560.94K","1.00%"
"02/04/2025","2,301.50","2,278.90","2,312.00","2,267.55","691.19K","1.75%"
"02/03/2025","2,261.85","2,266.75","2,279.00","2,213.90","824.94K","-0.36%"
"02/01/2025","2,270.00","2,297.00","2,351.45","2,237.55","987.36K","-0.78%"
"01/31/2025","2,287.80","2,238.85","2,314.95","2,213.75","2.01M","1.56%"
"01/30/2025","2,252.60","2,325.00","2,351.50","2,201.30","2.60M","-2.85%"
"01/29/2025","2,318.60","2,297.00","2,326.25","2,282.60","785.22K","1.42%"
"01/28/2025","2,286.05","2,274.20","2,315.85","2,242.00","966.50K","1.17%"
"01/27/2025","2,259.70","2,310.05","2,318.10","2,250.05","1.03M","-2.39%"
"01/24/2025","2,315.10","2,387.75","2,406.00","2,299.40","1.39M","-2.93%"
"01/23/2025","2,385.00","2,383.00","2,405.15","2,355.00","826.72K","0.36%"
"01/22/2025","2,376.55","2,399.00","2,399.00","2,325.15","1.15M","-0.33%"
"01/21/2025","2,384.30","2,441.75","2,441.75","2,373.65","1.21M","-2.39%"
"01/20/2025","2,442.80","2,413.75","2,454.00","2,390.00","1.04M","1.79%"
