"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","1,011.45","1,008.40","1,015.90","1,007.80","2.06M","0.01%"
"02/19/2025","1,011.35","991.65","1,013.45","988.15","6.40M","1.73%"
"02/18/2025","994.15","992.95","997.35","986.55","3.09M","0.12%"
"02/17/2025","992.95","992.45","999.65","978.05","7.17M","-0.46%"
"02/14/2025","997.50","1,010.55","1,016.00","987.65","5.38M","-1.06%"
"02/13/2025","1,008.20","1,003.00","1,017.45","1,001.05","6.35M","0.13%"
"02/12/2025","1,006.90","1,000.00","1,010.65","984.00","7.67M","-0.05%"
"02/11/2025","1,007.40","1,009.00","1,016.35","1,002.60","4.81M","-0.43%"
"02/10/2025","1,011.75","1,021.00","1,026.75","1,006.20","3.96M","-1.21%"
"02/07/2025","1,024.10","1,019.50","1,027.35","1,007.65","8.64M","0.33%"
"02/06/2025","1,020.70","1,012.00","1,021.85","1,010.05","5.82M","0.73%"
"02/05/2025","1,013.30","1,020.60","1,022.05","1,010.50","7.86M","-0.20%"
"02/04/2025","1,015.30","994.00","1,017.10","987.80","16.06M","2.62%"
"02/03/2025","989.40","987.10","1,000.50","983.35","7.12M","-0.88%"
"02/01/2025","998.15","989.50","1,004.95","982.00","4.83M","1.22%"
"01/31/2025","986.10","982.00","990.00","978.05","9.04M","0.14%"
"01/30/2025","984.70","984.65","991.40","974.80","10.47M","0.13%"
"01/29/2025","983.40","988.00","988.65","977.60","11.18M","-0.04%"
"01/28/2025","983.80","960.00","993.85","958.20","21.78M","3.77%"
"01/27/2025","948.10","943.10","949.75","933.50","12.71M","-0.04%"
"01/24/2025","948.50","948.00","961.80","946.10","14.42M","-0.27%"
"01/23/2025","951.05","954.00","963.70","948.00","24.65M","-0.86%"
"01/22/2025","959.30","975.75","975.75","954.00","17.30M","-1.12%"
"01/21/2025","970.20","993.60","994.45","963.00","11.89M","-1.81%"
"01/20/2025","988.05","992.05","994.20","976.50","33.44M","-0.30%"
