"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","8,612.95","8,459.95","8,634.80","8,459.95","99.78K","1.57%"
"02/19/2025","8,479.50","8,440.05","8,527.70","8,405.05","200.82K","0.39%"
"02/18/2025","8,446.60","8,510.10","8,550.00","8,390.45","206.28K","-1.06%"
"02/17/2025","8,537.15","8,494.00","8,552.05","8,382.65","224.42K","0.36%"
"02/14/2025","8,506.50","8,700.00","8,722.70","8,419.90","369.36K","-2.13%"
"02/13/2025","8,691.35","8,715.05","8,777.05","8,651.45","206.92K","-0.23%"
"02/12/2025","8,711.60","8,732.00","8,819.40","8,647.00","411.04K","-0.58%"
"02/11/2025","8,762.00","8,830.00","8,877.45","8,732.55","282.93K","-1.33%"
"02/10/2025","8,880.55","8,989.40","9,069.80","8,845.85","192.65K","-1.21%"
"02/07/2025","8,989.40","8,890.55","9,026.00","8,851.05","244.18K","1.62%"
"02/06/2025","8,846.35","8,922.00","8,961.65","8,811.00","580.59K","-0.91%"
"02/05/2025","8,927.80","8,930.00","8,968.00","8,895.00","329.08K","0.18%"
"02/04/2025","8,911.40","8,950.00","9,059.65","8,877.60","440.47K","-0.17%"
"02/03/2025","8,926.55","9,150.00","9,150.00","8,886.55","667.41K","-2.50%"
"02/01/2025","9,155.60","8,887.90","9,178.00","8,806.30","418.76K","3.48%"
"01/31/2025","8,847.80","8,800.00","8,959.90","8,744.05","315.91K","1.14%"
"01/30/2025","8,747.80","8,659.95","8,824.30","8,602.50","322.59K","1.41%"
"01/29/2025","8,625.85","8,420.15","8,807.00","8,420.15","802.60K","2.71%"
"01/28/2025","8,398.40","8,426.45","8,489.00","8,361.35","651.07K","0.16%"
"01/27/2025","8,384.60","8,378.05","8,418.95","8,290.35","324.41K","-0.20%"
"01/24/2025","8,401.50","8,414.40","8,489.95","8,360.00","232.32K","0.02%"
"01/23/2025","8,399.95","8,439.15","8,502.20","8,375.65","347.89K","-0.72%"
"01/22/2025","8,460.85","8,480.80","8,534.95","8,395.00","344.31K","-0.09%"
"01/21/2025","8,468.55","8,582.45","8,608.80","8,412.10","343.15K","-0.89%"
"01/20/2025","8,544.40","8,600.00","8,609.60","8,462.70","294.14K","-0.43%"
