"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","8,395.55","8,355.85","8,451.30","8,348.00","470.05K","-0.52%"
"02/19/2025","8,439.45","8,459.15","8,529.00","8,400.00","896.20K","-0.31%"
"02/18/2025","8,465.90","8,430.00","8,480.00","8,360.70","868.98K","0.47%"
"02/17/2025","8,426.60","8,220.25","8,488.00","8,220.25","862.80K","0.41%"
"02/14/2025","8,392.30","8,408.55","8,455.60","8,282.00","863.32K","-0.20%"
"02/13/2025","8,409.00","8,197.05","8,498.00","8,197.05","1.80M","2.37%"
"02/12/2025","8,214.05","8,149.65","8,284.00","8,025.00","1.48M","0.28%"
"02/11/2025","8,191.20","8,299.00","8,355.10","8,139.35","963.06K","-1.15%"
"02/10/2025","8,286.80","8,478.80","8,488.00","8,220.00","1.24M","-2.21%"
"02/07/2025","8,474.25","8,585.00","8,585.00","8,383.90","966.54K","-0.39%"
"02/06/2025","8,507.30","8,534.25","8,662.80","8,462.00","1.71M","-0.03%"
"02/05/2025","8,509.45","8,500.00","8,588.70","8,445.50","1.87M","0.40%"
"02/04/2025","8,475.35","8,425.00","8,490.00","8,303.00","1.97M","0.59%"
"02/03/2025","8,425.80","7,922.20","8,439.30","7,921.05","4.34M","5.32%"
"02/01/2025","8,000.10","7,880.00","8,109.95","7,784.40","1.62M","1.46%"
"01/31/2025","7,885.10","7,925.00","7,980.65","7,791.00","1.83M","-0.21%"
"01/30/2025","7,901.65","7,850.00","8,250.65","7,850.00","5.65M","1.83%"
"01/29/2025","7,759.65","7,657.25","7,787.00","7,568.95","1.51M","2.01%"
"01/28/2025","7,606.60","7,390.00","7,706.80","7,345.00","2.48M","4.26%"
"01/27/2025","7,295.45","7,380.10","7,474.50","7,260.00","692.81K","-1.92%"
"01/24/2025","7,438.60","7,443.25","7,505.00","7,338.30","679.69K","-0.06%"
"01/23/2025","7,443.25","7,341.00","7,524.00","7,325.00","1.03M","0.62%"
"01/22/2025","7,397.15","7,339.00","7,420.25","7,260.35","727.37K","1.45%"
"01/21/2025","7,291.65","7,450.00","7,485.00","7,277.60","1.00M","-2.00%"
"01/20/2025","7,440.10","7,182.10","7,470.00","7,182.10","1.07M","3.59%"
"01/17/2025","7,182.10","7,221.00","7,284.95","7,156.30","665.27K","-1.07%"
"01/16/2025","7,259.75","7,200.00","7,289.00","7,194.05","860.85K","1.15%"
"01/15/2025","7,177.40","7,340.50","7,350.00","7,105.20","681.75K","-2.15%"
"01/14/2025","7,335.00","7,230.00","7,388.00","7,191.15","998.01K","2.57%"
"01/13/2025","7,150.95","7,240.00","7,255.10","7,134.00","664.27K","-1.88%"
"01/10/2025","7,288.05","7,277.45","7,367.05","7,245.05","808.96K","0.15%"
"01/09/2025","7,277.45","7,338.45","7,355.40","7,236.00","668.14K","-1.06%"
"01/08/2025","7,355.40","7,361.85","7,388.45","7,256.70","844.47K","0.02%"
"01/07/2025","7,353.95","7,354.95","7,446.90","7,301.45","1.04M","0.06%"
"01/06/2025","7,349.35","7,500.00","7,599.90","7,316.75","1.91M","-0.78%"
"01/03/2025","7,407.25","7,389.75","7,500.00","7,359.25","1.51M","0.24%"
"01/02/2025","7,389.20","6,980.00","7,430.00","6,971.00","3.17M","6.54%"
"01/01/2025","6,935.30","6,823.00","6,947.95","6,806.00","418.72K","1.65%"
"12/31/2024","6,823.00","6,869.95","6,877.00","6,792.00","615.40K","-0.95%"
"12/30/2024","6,888.25","6,900.00","6,995.00","6,865.00","490.88K","-0.28%"
"12/27/2024","6,907.75","6,846.85","6,976.70","6,830.40","555.42K","1.35%"
"12/26/2024","6,815.75","6,830.40","6,858.00","6,800.05","329.10K","0.11%"
"12/24/2024","6,808.20","6,882.00","6,910.00","6,794.00","601.43K","-0.85%"
"12/23/2024","6,866.70","6,897.00","6,976.90","6,855.95","582.93K","0.27%"
"12/20/2024","6,848.25","6,913.35","7,024.00","6,804.70","2.70M","-1.02%"
"12/19/2024","6,918.55","6,950.00","7,024.45","6,887.85","907.68K","-2.20%"
"12/18/2024","7,074.45","7,149.00","7,178.80","7,060.40","727.51K","-1.10%"
"12/17/2024","7,152.80","7,200.00","7,257.40","7,110.00","1.03M","-0.77%"
"12/16/2024","7,208.40","7,182.80","7,248.00","7,156.10","796.07K","0.36%"
"12/13/2024","7,182.80","7,099.00","7,217.25","6,980.60","1.25M","0.80%"
"12/12/2024","7,125.80","7,121.85","7,148.40","7,075.00","966.80K","0.15%"
"12/11/2024","7,115.10","6,959.90","7,165.00","6,893.10","1.99M","2.58%"
"12/10/2024","6,936.20","6,884.80","6,958.85","6,844.05","1.20M","0.99%"
"12/09/2024","6,868.35","6,850.10","6,925.00","6,827.90","840.91K","0.26%"
"12/06/2024","6,850.30","6,875.95","6,935.00","6,778.65","833.21K","0.00%"
"12/05/2024","6,850.40","6,760.00","6,889.90","6,685.45","1.35M","1.64%"
"12/04/2024","6,740.00","6,701.75","6,764.40","6,666.85","1.13M","0.97%"
"12/03/2024","6,675.45","6,696.15","6,722.40","6,630.80","1.31M","0.37%"
"12/02/2024","6,650.65","6,595.00","6,665.00","6,491.00","920.25K","1.14%"
"11/29/2024","6,575.90","6,519.00","6,609.00","6,510.35","709.64K","1.02%"
"11/28/2024","6,509.40","6,714.00","6,726.25","6,495.00","1.58M","-2.92%"
"11/27/2024","6,705.20","6,650.00","6,733.30","6,612.25","642.01K","1.32%"
"11/26/2024","6,617.95","6,722.00","6,739.80","6,608.45","663.28K","-1.01%"
"11/25/2024","6,685.40","6,789.90","6,863.00","6,667.30","1.13M","0.02%"
"11/22/2024","6,683.95","6,470.00","6,722.40","6,456.05","969.86K","3.38%"
"11/21/2024","6,465.65","6,614.00","6,614.00","6,451.00","1.10M","-1.97%"
"11/19/2024","6,595.30","6,594.35","6,644.80","6,561.00","804.05K","0.42%"
"11/18/2024","6,567.95","6,633.00","6,657.00","6,555.00","596.54K","0.29%"
"11/14/2024","6,549.15","6,572.30","6,639.45","6,530.00","527.70K","-0.26%"
"11/13/2024","6,566.00","6,635.00","6,702.25","6,526.60","867.35K","-1.09%"
"11/12/2024","6,638.20","6,819.00","6,836.85","6,615.00","1.06M","-2.07%"
"11/11/2024","6,778.80","6,860.00","6,904.20","6,752.15","762.32K","-1.70%"
"11/08/2024","6,895.95","6,904.50","6,951.55","6,841.00","424.84K","-0.12%"
"11/07/2024","6,904.50","7,006.20","7,038.95","6,870.00","459.05K","-1.45%"
"11/06/2024","7,006.20","6,935.00","7,024.10","6,892.30","696.26K","1.09%"
"11/05/2024","6,930.35","6,845.00","7,014.95","6,712.00","1.22M","1.27%"
"11/04/2024","6,843.70","6,975.00","6,975.00","6,752.90","716.24K","-1.15%"
"11/01/2024","6,923.60","6,930.00","6,944.55","6,902.00","45.01K","0.49%"
"10/31/2024","6,889.75","6,949.00","6,970.80","6,879.75","730.15K","-0.94%"
"10/30/2024","6,955.00","6,999.00","7,020.45","6,932.00","566.04K","-0.96%"
