"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","256.60","252.00","257.70","250.75","8.42M","1.26%"
"02/19/2025","253.40","240.70","254.00","240.25","21.52M","3.60%"
"02/18/2025","244.60","249.00","249.75","240.55","21.18M","-1.57%"
"02/17/2025","248.50","248.95","250.00","242.60","24.95M","-0.74%"
"02/14/2025","250.35","262.20","264.50","248.20","25.68M","-4.28%"
"02/13/2025","261.55","259.15","265.50","258.60","18.02M","0.93%"
"02/12/2025","259.15","264.95","265.75","254.00","28.00M","-2.23%"
"02/11/2025","265.05","273.80","274.00","262.75","23.84M","-3.07%"
"02/10/2025","273.45","278.90","282.20","272.00","21.79M","-1.30%"
"02/07/2025","277.05","280.75","282.30","273.10","26.68M","-0.97%"
"02/06/2025","279.75","288.95","289.95","279.00","16.83M","-3.18%"
"02/05/2025","288.95","285.65","291.80","285.00","18.82M","1.56%"
"02/04/2025","284.50","276.00","286.00","275.90","29.04M","3.78%"
"02/03/2025","274.15","277.85","277.85","263.30","41.79M","-2.71%"
"02/01/2025","281.80","295.95","299.60","269.30","61.83M","-3.71%"
"01/31/2025","292.65","283.90","294.20","281.60","50.25M","4.99%"
"01/30/2025","278.75","268.85","280.50","267.90","46.74M","4.32%"
"01/29/2025","267.20","259.00","268.00","259.00","14.36M","3.47%"
"01/28/2025","258.25","263.50","265.70","252.70","29.05M","-1.79%"
"01/27/2025","262.95","267.00","267.00","261.80","13.71M","-2.67%"
"01/24/2025","270.15","273.95","276.70","268.80","10.16M","-1.39%"
"01/23/2025","273.95","268.80","276.95","267.10","11.98M","1.33%"
"01/22/2025","270.35","279.00","279.30","266.30","21.27M","-3.10%"
"01/21/2025","279.00","285.80","286.90","278.25","13.02M","-2.38%"
"01/20/2025","285.80","283.20","287.80","280.70","10.48M","1.29%"
