"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","257.75","254.00","258.55","253.20","4.95M","0.84%"
"02/19/2025","255.60","251.00","256.45","249.55","6.89M","1.13%"
"02/18/2025","252.75","252.25","253.55","246.85","5.53M","0.18%"
"02/17/2025","252.30","251.00","253.55","246.35","5.90M","0.52%"
"02/14/2025","251.00","256.40","258.60","247.45","5.21M","-1.86%"
"02/13/2025","255.75","256.20","260.10","255.00","5.51M","0.06%"
"02/12/2025","255.60","255.15","256.80","249.05","6.57M","0.18%"
"02/11/2025","255.15","259.50","259.75","253.75","6.82M","-1.83%"
"02/10/2025","259.90","264.55","265.80","257.50","8.05M","-1.66%"
"02/07/2025","264.30","262.10","264.90","260.05","6.56M","0.67%"
"02/06/2025","262.55","263.00","267.20","261.65","14.06M","0.50%"
"02/05/2025","261.25","260.25","265.65","260.25","10.09M","2.07%"
"02/04/2025","255.95","250.65","256.65","250.20","7.00M","2.56%"
"02/03/2025","249.55","250.95","251.80","242.20","21.52M","-2.39%"
"02/01/2025","255.65","261.75","262.05","248.00","11.46M","-2.09%"
"01/31/2025","261.10","257.90","262.00","254.25","8.79M","1.54%"
"01/30/2025","257.15","259.90","260.90","256.50","9.41M","0.06%"
"01/29/2025","257.00","256.95","257.95","251.50","9.44M","-0.41%"
"01/28/2025","258.05","262.25","263.90","254.30","13.32M","-1.24%"
"01/27/2025","261.30","263.70","263.70","258.35","10.08M","-0.95%"
"01/24/2025","263.80","274.00","279.40","263.00","18.48M","-2.75%"
"01/23/2025","271.25","283.00","285.00","270.30","18.81M","-2.29%"
"01/22/2025","277.60","282.00","283.55","274.05","6.30M","-0.93%"
"01/21/2025","280.20","278.55","287.00","278.15","15.30M","1.05%"
"01/20/2025","277.30","275.00","278.40","268.80","9.62M","1.35%"
