"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","1,631.70","1,639.85","1,647.85","1,629.30","2.47M","-0.82%"
"02/19/2025","1,645.20","1,670.00","1,673.45","1,638.45","7.78M","-1.42%"
"02/18/2025","1,668.90","1,692.00","1,695.95","1,655.80","7.53M","-0.40%"
"02/17/2025","1,675.55","1,711.75","1,716.90","1,666.25","4.91M","-2.42%"
"02/14/2025","1,717.05","1,714.00","1,724.10","1,705.25","5.13M","0.14%"
"02/13/2025","1,714.60","1,710.00","1,728.40","1,703.90","5.36M","0.18%"
"02/12/2025","1,711.55","1,704.00","1,713.70","1,684.50","7.15M","0.87%"
"02/11/2025","1,696.75","1,706.00","1,706.65","1,686.20","8.97M","0.22%"
"02/10/2025","1,693.05","1,698.85","1,700.00","1,678.05","6.78M","0.97%"
"02/07/2025","1,676.75","1,635.05","1,707.55","1,635.00","14.87M","3.52%"
"02/06/2025","1,619.75","1,665.90","1,667.30","1,613.25","5.23M","-2.45%"
"02/05/2025","1,660.45","1,670.00","1,675.20","1,649.10","3.92M","-0.06%"
"02/04/2025","1,661.45","1,662.15","1,668.30","1,629.05","6.39M","0.55%"
"02/03/2025","1,652.35","1,619.90","1,661.00","1,608.10","4.15M","1.79%"
"02/01/2025","1,623.25","1,627.00","1,644.00","1,609.20","2.74M","-0.19%"
"01/31/2025","1,626.30","1,639.10","1,639.10","1,574.25","8.34M","-0.88%"
"01/30/2025","1,640.75","1,606.70","1,644.95","1,595.20","4.28M","2.52%"
"01/29/2025","1,600.45","1,620.00","1,626.90","1,593.15","5.01M","-1.11%"
"01/28/2025","1,618.35","1,607.65","1,630.30","1,597.00","5.22M","0.98%"
"01/27/2025","1,602.60","1,638.95","1,647.20","1,593.70","6.62M","-2.57%"
"01/24/2025","1,644.80","1,634.05","1,661.90","1,634.05","3.62M","0.54%"
"01/23/2025","1,636.00","1,624.50","1,645.40","1,617.20","2.46M","0.26%"
"01/22/2025","1,631.75","1,627.50","1,641.00","1,622.55","3.26M","0.34%"
"01/21/2025","1,626.15","1,654.00","1,656.70","1,620.30","7.96M","-0.91%"
"01/20/2025","1,641.15","1,638.00","1,645.00","1,618.10","3.93M","0.84%"
"01/17/2025","1,627.50","1,630.10","1,639.00","1,623.00","2.68M","-0.17%"
"01/16/2025","1,630.20","1,619.05","1,635.00","1,600.55","5.30M","1.42%"
"01/15/2025","1,607.45","1,608.05","1,613.85","1,593.00","2.96M","0.46%"
"01/14/2025","1,600.10","1,604.70","1,633.40","1,578.50","7.28M","0.18%"
"01/13/2025","1,597.20","1,580.00","1,614.70","1,578.10","3.71M","-1.16%"
"01/10/2025","1,615.90","1,608.00","1,625.00","1,591.80","4.15M","0.55%"
"01/09/2025","1,607.05","1,600.00","1,620.20","1,592.40","4.68M","0.49%"
"01/08/2025","1,599.20","1,598.75","1,613.45","1,577.85","3.67M","0.52%"
"01/07/2025","1,590.85","1,594.00","1,603.00","1,584.05","2.83M","0.15%"
"01/06/2025","1,588.45","1,596.15","1,609.85","1,567.10","4.58M","-0.65%"
"01/03/2025","1,598.85","1,615.00","1,617.00","1,593.30","3.67M","-0.67%"
"01/02/2025","1,609.70","1,599.90","1,619.60","1,588.40","3.73M","0.88%"
"01/01/2025","1,595.70","1,593.00","1,606.55","1,584.05","1.41M","0.50%"
"12/31/2024","1,587.75","1,583.00","1,597.20","1,563.35","2.25M","0.05%"
"12/30/2024","1,586.90","1,605.00","1,613.05","1,581.10","4.44M","-0.81%"
"12/27/2024","1,599.85","1,599.50","1,628.45","1,596.30","2.56M","0.02%"
"12/26/2024","1,599.50","1,583.90","1,606.85","1,581.10","3.40M","0.98%"
"12/24/2024","1,583.90","1,590.00","1,598.80","1,575.00","3.61M","-0.19%"
"12/23/2024","1,586.90","1,586.00","1,607.45","1,578.35","4.36M","0.56%"
"12/20/2024","1,578.10","1,610.00","1,622.30","1,573.40","9.74M","-1.39%"
"12/19/2024","1,600.30","1,586.40","1,609.75","1,585.45","5.87M","-0.10%"
"12/18/2024","1,601.90","1,621.40","1,623.00","1,596.10","3.91M","-0.83%"
"12/17/2024","1,615.30","1,650.50","1,658.65","1,608.50","6.18M","-2.84%"
"12/16/2024","1,662.55","1,681.75","1,687.00","1,660.15","4.38M","-1.14%"
"12/13/2024","1,681.75","1,618.00","1,685.00","1,606.80","12.90M","4.42%"
"12/12/2024","1,610.55","1,578.50","1,617.90","1,578.50","13.12M","1.55%"
"12/11/2024","1,586.00","1,588.00","1,588.00","1,571.20","3.85M","0.47%"
"12/10/2024","1,578.65","1,610.55","1,611.85","1,570.05","14.65M","-1.49%"
"12/09/2024","1,602.55","1,595.90","1,605.90","1,589.05","4.26M","0.29%"
"12/06/2024","1,597.85","1,618.00","1,624.65","1,594.80","4.30M","-1.08%"
"12/05/2024","1,615.35","1,600.00","1,622.05","1,585.35","10.32M","1.97%"
"12/04/2024","1,584.10","1,629.75","1,630.50","1,582.40","8.77M","-2.25%"
"12/03/2024","1,620.55","1,652.90","1,652.90","1,613.15","9.13M","-1.40%"
"12/02/2024","1,643.60","1,627.15","1,646.20","1,617.20","3.79M","1.01%"
"11/29/2024","1,627.15","1,551.15","1,648.90","1,551.15","10.78M","4.28%"
"11/28/2024","1,560.40","1,571.00","1,588.50","1,556.95","6.71M","-1.09%"
"11/27/2024","1,577.65","1,569.15","1,583.75","1,554.15","4.98M","0.03%"
"11/26/2024","1,577.25","1,590.00","1,604.85","1,566.00","4.03M","-0.10%"
"11/25/2024","1,578.75","1,581.95","1,609.25","1,562.55","12.16M","0.60%"
"11/22/2024","1,569.30","1,533.00","1,575.00","1,520.20","7.64M","2.89%"
"11/21/2024","1,525.15","1,538.00","1,542.05","1,511.00","7.36M","-0.02%"
"11/19/2024","1,525.50","1,537.00","1,558.00","1,519.30","6.24M","-0.75%"
"11/18/2024","1,537.00","1,568.95","1,568.95","1,529.45","4.82M","-0.87%"
"11/14/2024","1,550.50","1,550.00","1,568.00","1,536.55","5.14M","0.00%"
"11/13/2024","1,550.45","1,559.90","1,572.50","1,546.35","5.82M","-0.33%"
"11/12/2024","1,555.65","1,568.80","1,595.00","1,550.10","4.48M","-0.31%"
"11/11/2024","1,560.55","1,561.00","1,581.60","1,551.80","3.66M","-0.60%"
"11/08/2024","1,569.90","1,571.00","1,579.50","1,558.85","3.10M","-0.37%"
"11/07/2024","1,575.80","1,595.95","1,608.55","1,569.65","5.16M","-1.44%"
"11/06/2024","1,598.80","1,583.00","1,610.75","1,566.50","6.63M","1.29%"
"11/05/2024","1,578.40","1,583.25","1,593.90","1,566.00","6.47M","-0.81%"
"11/04/2024","1,591.25","1,619.15","1,623.85","1,573.05","6.09M","-1.56%"
"11/01/2024","1,616.45","1,620.00","1,626.35","1,605.35","279.44K","0.24%"
"10/31/2024","1,612.60","1,634.00","1,638.80","1,602.15","4.92M","-1.27%"
"10/30/2024","1,633.35","1,627.80","1,651.00","1,617.80","4.62M","-0.23%"
"10/29/2024","1,637.10","1,650.50","1,667.95","1,610.00","6.99M","-1.58%"
"10/28/2024","1,663.35","1,658.15","1,677.85","1,645.65","2.81M","-0.16%"
"10/25/2024","1,666.00","1,681.10","1,684.75","1,655.85","3.43M","-0.74%"
"10/24/2024","1,678.45","1,687.00","1,693.00","1,657.40","3.67M","-0.44%"
"10/23/2024","1,685.80","1,690.00","1,701.35","1,680.10","2.76M","-0.38%"
"10/22/2024","1,692.25","1,692.00","1,712.90","1,687.35","3.07M","-0.02%"
"10/21/2024","1,692.55","1,705.55","1,708.95","1,662.00","3.84M","-0.90%"
"10/18/2024","1,707.85","1,710.00","1,716.10","1,685.20","4.15M","0.39%"
"10/17/2024","1,701.15","1,736.75","1,737.95","1,694.40","4.37M","-1.89%"
"10/16/2024","1,733.95","1,720.00","1,742.25","1,717.10","3.30M","0.97%"
"10/15/2024","1,717.25","1,708.00","1,732.75","1,699.95","5.89M","1.28%"
"10/14/2024","1,695.60","1,686.00","1,710.05","1,679.35","2.07M","0.49%"
"10/11/2024","1,687.40","1,678.10","1,690.25","1,658.65","2.37M","0.55%"
"10/10/2024","1,678.10","1,686.60","1,698.95","1,665.00","5.05M","0.00%"
"10/09/2024","1,678.10","1,666.75","1,704.60","1,661.05","3.41M","1.25%"
"10/08/2024","1,657.45","1,662.60","1,679.50","1,652.00","5.22M","-0.28%"
"10/07/2024","1,662.05","1,651.00","1,670.00","1,642.45","5.39M","1.29%"
"10/04/2024","1,640.90","1,670.05","1,686.70","1,630.15","8.58M","-1.95%"
"10/03/2024","1,673.45","1,665.00","1,695.00","1,665.00","7.20M","-1.49%"
"10/01/2024","1,698.70","1,705.00","1,722.85","1,696.00","3.65M","-0.63%"
"09/30/2024","1,709.55","1,714.00","1,733.00","1,704.20","6.91M","-1.44%"
"09/27/2024","1,734.60","1,755.20","1,763.45","1,722.50","7.12M","-2.06%"
"09/26/2024","1,771.10","1,770.00","1,779.00","1,746.15","7.42M","0.61%"
"09/25/2024","1,760.40","1,755.55","1,766.90","1,745.00","4.02M","0.21%"
"09/24/2024","1,756.65","1,752.00","1,767.55","1,746.10","7.58M","0.35%"
"09/23/2024","1,750.45","1,719.00","1,754.25","1,719.00","5.00M","2.26%"
"09/20/2024","1,711.75","1,671.00","1,723.40","1,666.00","21.65M","2.82%"
"09/19/2024","1,664.85","1,647.70","1,711.70","1,647.70","8.50M","0.60%"
"09/18/2024","1,654.90","1,655.20","1,670.95","1,647.85","3.17M","-0.41%"
"09/17/2024","1,661.75","1,650.00","1,666.05","1,638.50","4.22M","1.61%"
"09/16/2024","1,635.45","1,634.45","1,652.95","1,630.10","3.76M","0.06%"
"09/13/2024","1,634.45","1,651.00","1,654.90","1,631.05","5.61M","-0.75%"
"09/12/2024","1,646.75","1,596.15","1,652.80","1,590.10","12.20M","4.37%"
"09/11/2024","1,577.80","1,578.45","1,598.90","1,574.45","5.99M","0.00%"
"09/10/2024","1,577.85","1,545.15","1,586.00","1,545.15","6.16M","2.28%"
"09/09/2024","1,542.65","1,523.25","1,546.75","1,523.25","3.91M","0.22%"
"09/06/2024","1,539.25","1,552.80","1,555.60","1,530.20","5.50M","-0.51%"
"09/05/2024","1,547.20","1,559.00","1,563.00","1,541.50","5.65M","-0.94%"
"09/04/2024","1,561.90","1,558.00","1,566.00","1,542.00","5.21M","0.08%"
"09/03/2024","1,560.60","1,579.00","1,579.00","1,558.60","4.55M","-0.68%"
"09/02/2024","1,571.35","1,605.00","1,605.00","1,565.50","4.89M","-1.11%"
"08/30/2024","1,589.05","1,576.00","1,608.40","1,561.60","37.82M","1.48%"
"08/29/2024","1,565.90","1,565.00","1,571.70","1,545.95","8.04M","0.61%"
"08/28/2024","1,556.35","1,527.95","1,564.50","1,521.65","6.23M","2.21%"
"08/27/2024","1,522.75","1,518.00","1,526.35","1,502.00","3.97M","0.61%"
"08/26/2024","1,513.55","1,509.00","1,520.70","1,505.00","4.31M","0.45%"
"08/23/2024","1,506.75","1,493.00","1,510.00","1,479.35","6.24M","1.37%"
"08/22/2024","1,486.35","1,473.70","1,499.90","1,465.00","6.78M","1.56%"
"08/21/2024","1,463.45","1,453.00","1,466.60","1,447.70","6.18M","0.99%"
"08/20/2024","1,449.15","1,480.00","1,484.75","1,446.50","10.05M","-1.39%"
"08/19/2024","1,469.65","1,487.00","1,489.10","1,464.30","4.40M","-0.94%"
"08/16/2024","1,483.55","1,480.00","1,491.00","1,468.10","7.18M","0.81%"
"08/14/2024","1,471.70","1,453.10","1,480.10","1,453.10","5.89M","0.82%"
"08/13/2024","1,459.70","1,468.00","1,478.40","1,450.35","4.50M","0.08%"
"08/12/2024","1,458.60","1,466.00","1,477.50","1,445.00","4.03M","-0.38%"
"08/09/2024","1,464.10","1,465.00","1,482.00","1,457.30","3.62M","0.85%"
"08/08/2024","1,451.80","1,435.00","1,466.50","1,430.00","5.99M","0.70%"
"08/07/2024","1,441.75","1,452.00","1,454.90","1,422.60","5.70M","-0.12%"
"08/06/2024","1,443.55","1,483.10","1,492.90","1,431.10","8.25M","-1.51%"
"08/05/2024","1,465.70","1,482.00","1,488.00","1,451.50","5.11M","-1.88%"
"08/02/2024","1,493.80","1,494.10","1,505.15","1,483.60","3.34M","-0.78%"
"08/01/2024","1,505.50","1,485.00","1,511.00","1,485.00","4.53M","0.94%"
"07/31/2024","1,491.55","1,477.85","1,504.15","1,473.15","5.63M","1.44%"
"07/30/2024","1,470.35","1,484.40","1,484.90","1,464.05","4.26M","-0.74%"
"07/29/2024","1,481.35","1,525.00","1,525.00","1,477.05","4.59M","-2.18%"
"07/26/2024","1,514.40","1,450.25","1,520.00","1,449.15","9.56M","4.50%"
"07/25/2024","1,449.15","1,445.00","1,454.00","1,440.10","4.28M","-0.42%"
"07/24/2024","1,455.20","1,466.00","1,475.60","1,436.55","4.53M","-0.72%"
"07/23/2024","1,465.70","1,470.00","1,470.00","1,428.45","2.94M","0.02%"
"07/22/2024","1,465.40","1,450.00","1,472.00","1,449.05","3.56M","0.25%"
"07/19/2024","1,461.75","1,480.00","1,480.00","1,451.95","3.86M","-1.48%"
"07/18/2024","1,483.65","1,466.00","1,485.95","1,459.05","6.47M","1.17%"
"07/16/2024","1,466.50","1,452.00","1,473.30","1,445.00","6.97M","2.01%"
"07/15/2024","1,437.60","1,433.25","1,440.00","1,426.05","3.32M","0.30%"
"07/12/2024","1,433.25","1,442.00","1,447.60","1,421.45","6.34M","-0.33%"
"07/11/2024","1,437.95","1,450.00","1,450.85","1,428.00","4.18M","-0.49%"
"07/10/2024","1,445.05","1,441.00","1,448.75","1,426.15","3.42M","0.66%"
"07/09/2024","1,435.55","1,436.00","1,441.65","1,428.15","2.90M","0.03%"
"07/08/2024","1,435.15","1,431.00","1,438.85","1,423.15","3.26M","0.38%"
"07/05/2024","1,429.70","1,422.50","1,433.60","1,416.85","4.88M","0.47%"
"07/04/2024","1,423.05","1,418.00","1,441.10","1,411.50","9.57M","0.23%"
"07/03/2024","1,419.85","1,427.95","1,432.40","1,408.45","8.26M","0.06%"
"07/02/2024","1,418.95","1,462.00","1,473.40","1,417.00","7.79M","-2.41%"
"07/01/2024","1,454.00","1,450.00","1,466.80","1,449.25","6.01M","0.69%"
"06/28/2024","1,444.05","1,536.25","1,536.25","1,436.65","29.15M","-2.15%"
"06/27/2024","1,475.80","1,464.00","1,489.00","1,440.05","19.68M","1.12%"
"06/26/2024","1,459.50","1,414.95","1,479.95","1,408.95","9.58M","3.15%"
"06/25/2024","1,414.95","1,434.00","1,434.00","1,409.85","6.35M","-0.34%"
"06/24/2024","1,419.80","1,402.00","1,423.80","1,389.35","6.20M","0.26%"
"06/21/2024","1,416.05","1,384.95","1,423.95","1,372.85","43.93M","2.53%"
"06/20/2024","1,381.15","1,405.95","1,406.95","1,376.25","8.74M","-0.80%"
"06/19/2024","1,392.35","1,433.95","1,434.80","1,388.30","8.64M","-2.52%"
"06/18/2024","1,428.35","1,444.00","1,444.00","1,418.00","8.67M","0.07%"
"06/14/2024","1,427.40","1,434.00","1,434.00","1,420.95","3.98M","0.12%"
"06/13/2024","1,425.75","1,449.00","1,455.95","1,420.45","7.99M","-0.88%"
"06/12/2024","1,438.40","1,425.00","1,447.85","1,422.10","4.88M","0.78%"
"06/11/2024","1,427.25","1,426.00","1,434.60","1,413.00","4.42M","0.08%"
"06/10/2024","1,426.05","1,421.05","1,436.65","1,421.05","5.32M","0.06%"
"06/07/2024","1,425.25","1,370.60","1,430.65","1,363.15","12.28M","3.99%"
"06/06/2024","1,370.60","1,359.00","1,376.25","1,329.00","10.28M","1.95%"
"06/05/2024","1,344.35","1,325.65","1,348.75","1,279.85","12.18M","3.44%"
"06/04/2024","1,299.70","1,391.10","1,397.00","1,219.05","19.92M","-6.57%"
"06/03/2024","1,391.10","1,415.30","1,420.45","1,385.00","6.02M","1.34%"
"05/31/2024","1,372.75","1,380.00","1,388.00","1,338.00","24.83M","-0.32%"
"05/30/2024","1,377.15","1,378.80","1,386.45","1,363.50","7.10M","0.00%"
"05/29/2024","1,377.10","1,355.50","1,390.25","1,355.50","4.45M","0.44%"
"05/28/2024","1,371.05","1,384.80","1,386.95","1,366.90","2.07M","-0.96%"
"05/27/2024","1,384.35","1,396.00","1,407.00","1,378.00","6.55M","-0.30%"
"05/24/2024","1,388.50","1,375.50","1,397.75","1,374.05","5.62M","1.05%"
"05/23/2024","1,374.05","1,350.75","1,377.30","1,344.30","7.15M","1.94%"
"05/22/2024","1,347.90","1,342.15","1,351.00","1,329.55","3.03M","0.27%"
"05/21/2024","1,344.30","1,356.00","1,362.75","1,335.75","5.42M","-0.26%"
"05/18/2024","1,347.75","1,347.95","1,351.00","1,341.45","149.41K","0.25%"
"05/17/2024","1,344.45","1,353.60","1,360.00","1,339.25","6.61M","-0.05%"
"05/16/2024","1,345.10","1,328.00","1,356.85","1,321.30","11.93M","2.69%"
"05/15/2024","1,309.90","1,281.55","1,318.25","1,280.50","6.89M","1.99%"
"05/14/2024","1,284.30","1,290.55","1,299.90","1,280.70","3.26M","-0.13%"
