"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","4,803.65","4,819.00","4,835.90","4,792.00","148.53K","-0.70%"
"02/19/2025","4,837.50","4,881.00","4,899.00","4,812.35","215.92K","-1.10%"
"02/18/2025","4,891.20","4,963.70","4,967.05","4,859.40","314.22K","-1.46%"
"02/17/2025","4,963.70","4,934.50","4,969.00","4,911.90","275.35K","0.49%"
"02/14/2025","4,939.65","4,891.70","4,955.00","4,873.75","489.24K","1.04%"
"02/13/2025","4,888.70","4,915.95","4,950.75","4,867.25","341.65K","-0.60%"
"02/12/2025","4,918.30","4,899.05","4,932.95","4,843.55","336.33K","0.29%"
"02/11/2025","4,904.05","4,910.95","4,939.55","4,854.00","279.64K","-0.11%"
"02/10/2025","4,909.65","4,915.00","5,009.00","4,877.00","625.07K","0.80%"
"02/07/2025","4,870.50","5,010.00","5,075.40","4,844.00","701.02K","-1.73%"
"02/06/2025","4,956.05","4,932.10","4,978.80","4,906.05","466.93K","0.47%"
"02/05/2025","4,932.65","5,058.00","5,058.00","4,924.35","384.95K","-1.90%"
"02/04/2025","5,028.35","5,118.00","5,118.00","4,990.30","434.66K","-1.51%"
"02/03/2025","5,105.55","5,232.60","5,232.60","5,015.00","517.52K","-1.84%"
"02/01/2025","5,201.35","5,160.00","5,379.00","5,051.00","634.04K","1.40%"
"01/31/2025","5,129.65","5,104.00","5,170.00","5,040.10","316.77K","1.07%"
"01/30/2025","5,075.35","5,037.10","5,105.00","5,034.95","354.02K","0.76%"
"01/29/2025","5,037.05","5,100.00","5,100.00","4,991.00","298.53K","-0.47%"
"01/28/2025","5,060.75","5,181.15","5,216.25","5,018.20","456.91K","-2.23%"
"01/27/2025","5,176.25","5,103.65","5,215.00","5,103.05","937.88K","1.46%"
"01/24/2025","5,101.55","5,037.70","5,108.00","5,013.15","509.95K","1.77%"
"01/23/2025","5,012.60","4,944.15","5,042.95","4,883.20","361.08K","1.13%"
"01/22/2025","4,956.70","4,930.00","4,975.20","4,883.20","460.13K","1.08%"
"01/21/2025","4,903.85","4,885.40","4,944.15","4,850.10","377.46K","0.38%"
"01/20/2025","4,885.40","4,860.00","4,908.00","4,836.65","155.96K","0.64%"
