"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","1,476.25","1,462.00","1,482.40","1,462.00","863.22K","0.83%"
"02/19/2025","1,464.15","1,454.95","1,474.00","1,426.35","1.21M","-1.21%"
"02/18/2025","1,482.10","1,474.65","1,483.85","1,466.10","967.39K","0.51%"
"02/17/2025","1,474.65","1,457.45","1,480.70","1,451.30","1.11M","1.04%"
"02/14/2025","1,459.45","1,478.00","1,480.15","1,438.55","1.70M","-0.86%"
"02/13/2025","1,472.15","1,449.20","1,493.00","1,447.10","1.88M","1.58%"
"02/12/2025","1,449.20","1,453.15","1,462.30","1,435.15","1.79M","-0.27%"
"02/11/2025","1,453.15","1,465.00","1,468.00","1,443.40","1.94M","-0.39%"
"02/10/2025","1,458.85","1,476.20","1,477.60","1,431.55","1.28M","-0.91%"
"02/07/2025","1,472.25","1,473.50","1,481.85","1,455.00","1.45M","0.05%"
"02/06/2025","1,471.50","1,443.95","1,475.30","1,438.15","2.92M","2.42%"
"02/05/2025","1,436.80","1,457.85","1,458.00","1,429.30","2.52M","-0.85%"
"02/04/2025","1,449.05","1,425.90","1,463.25","1,423.50","1.75M","2.01%"
"02/03/2025","1,420.55","1,435.00","1,439.30","1,406.15","1.76M","-1.32%"
"02/01/2025","1,439.50","1,479.40","1,486.50","1,427.25","1.31M","-2.70%"
"01/31/2025","1,479.40","1,460.00","1,491.00","1,452.10","2.08M","1.51%"
"01/30/2025","1,457.45","1,431.00","1,469.80","1,426.00","1.77M","2.35%"
"01/29/2025","1,423.95","1,440.00","1,455.00","1,410.60","3.78M","0.24%"
"01/28/2025","1,420.60","1,395.05","1,473.00","1,366.10","5.63M","1.75%"
"01/27/2025","1,396.10","1,408.10","1,414.90","1,384.20","1.45M","-1.08%"
"01/24/2025","1,411.40","1,445.25","1,451.00","1,408.00","1.62M","-2.74%"
"01/23/2025","1,451.15","1,432.55","1,458.20","1,432.55","1.07M","0.82%"
"01/22/2025","1,439.40","1,431.10","1,440.95","1,420.20","808.61K","0.80%"
"01/21/2025","1,428.00","1,450.50","1,464.80","1,425.00","820.23K","-1.21%"
"01/20/2025","1,445.45","1,442.30","1,449.55","1,428.90","738.45K","0.22%"
