"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","366.00","360.00","366.85","360.00","1.91M","1.02%"
"02/19/2025","362.30","360.00","365.30","358.00","3.10M","0.33%"
"02/18/2025","361.10","360.25","362.35","353.80","3.84M","0.28%"
"02/17/2025","360.10","354.20","362.00","349.25","6.02M","1.67%"
"02/14/2025","354.20","363.90","365.00","350.50","4.46M","-2.06%"
"02/13/2025","361.65","362.00","367.55","358.60","3.71M","0.36%"
"02/12/2025","360.35","359.90","361.80","351.55","4.57M","0.38%"
"02/11/2025","359.00","370.00","370.50","357.50","6.80M","-3.10%"
"02/10/2025","370.50","377.00","379.85","369.00","3.38M","-2.05%"
"02/07/2025","378.25","379.50","383.00","376.00","3.01M","-0.36%"
"02/06/2025","379.60","382.80","384.65","377.20","4.65M","-0.85%"
"02/05/2025","382.85","378.00","385.10","377.90","5.91M","1.67%"
"02/04/2025","376.55","377.50","380.70","374.90","4.65M","0.68%"
"02/03/2025","374.00","384.00","384.15","366.50","7.69M","-2.93%"
"02/01/2025","385.30","395.90","399.45","379.05","7.02M","-2.68%"
"01/31/2025","395.90","379.50","396.95","374.65","10.34M","2.82%"
"01/30/2025","385.05","381.70","387.35","380.40","6.30M","1.48%"
"01/29/2025","379.45","372.50","385.00","370.80","6.68M","2.37%"
"01/28/2025","370.65","376.00","377.60","367.75","10.87M","-1.36%"
"01/27/2025","375.75","380.90","383.00","372.75","6.65M","-1.91%"
"01/24/2025","383.05","386.05","392.25","381.70","5.35M","-0.71%"
"01/23/2025","385.80","377.50","388.20","376.20","5.84M","1.74%"
"01/22/2025","379.20","381.50","383.90","374.65","10.65M","-0.62%"
"01/21/2025","381.55","388.00","389.65","381.00","20.85M","-1.42%"
"01/20/2025","387.05","389.60","391.00","382.65","14.60M","-0.15%"
"01/17/2025","387.65","380.00","389.30","378.55","8.38M","2.32%"
"01/16/2025","378.85","378.45","381.50","374.80","6.92M","1.13%"
"01/15/2025","374.60","371.90","381.45","369.30","11.12M","1.45%"
"01/14/2025","369.25","365.00","374.00","363.00","5.70M","1.75%"
"01/13/2025","362.90","366.10","370.40","361.25","8.66M","-1.52%"
"01/10/2025","368.50","371.40","373.20","364.70","4.89M","-0.99%"
"01/09/2025","372.20","381.55","381.55","370.80","6.25M","-2.14%"
"01/08/2025","380.35","380.05","382.05","376.00","7.41M","0.14%"
"01/07/2025","379.80","380.55","384.25","376.50","6.54M","0.28%"
"01/06/2025","378.75","394.05","394.05","377.15","8.77M","-3.79%"
"01/03/2025","393.65","393.00","399.30","389.50","7.12M","0.18%"
"01/02/2025","392.95","388.40","393.95","384.05","7.54M","1.70%"
"01/01/2025","386.40","383.55","388.15","382.50","3.58M","0.59%"
"12/31/2024","384.15","377.90","384.70","376.10","7.69M","1.65%"
"12/30/2024","377.90","380.50","382.30","375.70","22.33M","-0.68%"
"12/27/2024","380.50","387.50","388.45","379.55","5.91M","-1.58%"
"12/26/2024","386.60","386.40","390.30","385.05","4.19M","0.55%"
"12/24/2024","384.50","384.85","386.75","381.40","4.24M","0.40%"
"12/23/2024","382.95","386.00","388.60","382.40","5.16M","0.25%"
"12/20/2024","382.00","393.00","393.70","380.50","7.92M","-2.54%"
"12/19/2024","391.95","390.95","394.50","387.00","5.75M","-0.97%"
"12/18/2024","395.80","403.50","404.80","394.55","7.18M","-1.76%"
"12/17/2024","402.90","410.45","410.95","402.00","5.07M","-1.84%"
"12/16/2024","410.45","410.50","412.85","406.50","5.43M","0.04%"
"12/13/2024","410.30","409.10","411.25","402.00","9.44M","0.29%"
"12/12/2024","409.10","416.50","417.85","407.10","9.41M","-1.88%"
"12/11/2024","416.95","416.00","419.65","415.55","5.35M","0.70%"
"12/10/2024","414.05","415.50","417.20","411.50","6.04M","0.01%"
"12/09/2024","414.00","418.00","420.95","412.50","6.66M","-0.76%"
"12/06/2024","417.15","420.00","421.50","416.40","4.25M","-0.30%"
"12/05/2024","418.40","418.15","421.25","412.00","9.50M","0.42%"
"12/04/2024","416.65","422.10","425.90","415.00","6.84M","-1.29%"
"12/03/2024","422.10","425.00","425.50","419.35","7.93M","0.09%"
