"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","1,168.00","1,164.50","1,170.70","1,156.80","807.33K","0.18%"
"02/19/2025","1,165.85","1,166.00","1,176.95","1,127.50","3.06M","-2.63%"
"02/18/2025","1,197.40","1,198.95","1,204.95","1,182.00","1.71M","-0.13%"
"02/17/2025","1,198.95","1,196.85","1,202.00","1,183.15","613.03K","0.16%"
"02/14/2025","1,197.05","1,223.50","1,230.00","1,186.25","1.21M","-2.17%"
"02/13/2025","1,223.60","1,216.90","1,243.00","1,216.90","4.45M","0.64%"
"02/12/2025","1,215.85","1,218.00","1,220.40","1,202.85","1.31M","0.50%"
"02/11/2025","1,209.80","1,220.00","1,222.90","1,201.25","1.82M","-0.91%"
"02/10/2025","1,220.95","1,239.70","1,239.70","1,211.05","1.57M","-1.57%"
"02/07/2025","1,240.40","1,240.00","1,243.75","1,226.00","1.24M","0.30%"
"02/06/2025","1,236.65","1,234.90","1,254.00","1,230.20","2.99M","0.74%"
"02/05/2025","1,227.55","1,227.00","1,233.10","1,215.85","1.46M","0.62%"
"02/04/2025","1,219.95","1,207.00","1,233.00","1,201.45","2.24M","1.34%"
"02/03/2025","1,203.85","1,200.00","1,220.00","1,196.80","1.41M","-0.09%"
"02/01/2025","1,204.95","1,220.40","1,220.40","1,200.10","1.07M","-1.02%"
"01/31/2025","1,217.35","1,202.00","1,221.00","1,196.00","1.51M","1.91%"
"01/30/2025","1,194.50","1,188.00","1,204.80","1,184.00","3.29M","1.13%"
"01/29/2025","1,181.20","1,187.40","1,192.45","1,173.50","3.46M","0.00%"
"01/28/2025","1,181.25","1,197.65","1,197.65","1,164.65","3.14M","-1.37%"
"01/27/2025","1,197.65","1,224.40","1,234.35","1,191.50","2.18M","-2.18%"
"01/24/2025","1,224.40","1,229.95","1,252.65","1,203.50","7.08M","-5.04%"
"01/23/2025","1,289.40","1,289.00","1,303.95","1,274.55","1.45M","-0.53%"
"01/22/2025","1,296.25","1,291.00","1,308.00","1,288.00","1.30M","0.63%"
"01/21/2025","1,288.15","1,302.35","1,312.95","1,285.65","738.79K","-1.09%"
"01/20/2025","1,302.35","1,308.35","1,309.00","1,293.65","561.64K","-0.54%"
