"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","4,866.35","4,780.00","4,891.60","4,780.00","167.15K","1.16%"
"02/19/2025","4,810.60","4,700.00","4,821.00","4,677.05","275.72K","1.93%"
"02/18/2025","4,719.40","4,769.00","4,772.50","4,684.45","254.03K","-0.54%"
"02/17/2025","4,745.20","4,700.00","4,755.00","4,646.00","232.21K","0.89%"
"02/14/2025","4,703.35","4,831.10","4,850.00","4,686.05","476.47K","-2.43%"
"02/13/2025","4,820.40","4,850.65","4,907.05","4,790.00","571.53K","-0.60%"
"02/12/2025","4,849.45","4,950.00","5,000.00","4,834.40","813.86K","-2.47%"
"02/11/2025","4,972.35","5,138.85","5,139.50","4,954.95","2.27M","-6.80%"
"02/10/2025","5,335.35","5,400.00","5,444.90","5,307.40","631.82K","-0.69%"
"02/07/2025","5,372.55","5,368.65","5,399.00","5,320.05","604.38K","0.57%"
"02/06/2025","5,342.00","5,428.10","5,445.05","5,330.90","361.00K","-1.39%"
"02/05/2025","5,417.20","5,450.00","5,470.00","5,351.00","442.23K","-0.60%"
"02/04/2025","5,450.10","5,536.55","5,554.15","5,442.00","591.63K","-0.64%"
"02/03/2025","5,485.25","5,575.00","5,575.50","5,406.90","1.33M","1.76%"
"02/01/2025","5,390.15","5,214.80","5,423.05","5,130.10","609.53K","3.77%"
"01/31/2025","5,194.30","5,165.00","5,244.00","5,145.00","394.12K","0.58%"
"01/30/2025","5,164.35","5,182.90","5,268.00","5,140.05","480.83K","-0.36%"
"01/29/2025","5,182.90","5,080.55","5,235.00","5,080.55","357.31K","1.52%"
"01/28/2025","5,105.40","5,160.00","5,194.00","5,090.00","603.95K","-0.76%"
"01/27/2025","5,144.50","5,190.00","5,208.00","5,115.60","418.60K","-1.19%"
"01/24/2025","5,206.30","5,134.00","5,224.50","5,115.05","730.64K","1.76%"
"01/23/2025","5,116.20","4,996.60","5,158.00","4,977.80","442.19K","2.13%"
"01/22/2025","5,009.70","4,980.00","5,025.00","4,953.20","494.73K","0.80%"
"01/21/2025","4,969.95","5,032.35","5,080.00","4,960.00","416.55K","-0.93%"
"01/20/2025","5,016.75","5,012.35","5,038.45","4,930.00","255.32K","0.09%"
