"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","2,448.30","2,451.00","2,475.00","2,445.60","211.96K","-0.60%"
"02/19/2025","2,463.20","2,448.00","2,481.50","2,446.30","289.05K","0.00%"
"02/18/2025","2,463.20","2,480.00","2,482.95","2,412.80","596.04K","-0.03%"
"02/17/2025","2,463.85","2,431.30","2,471.15","2,405.55","646.84K","1.34%"
"02/14/2025","2,431.30","2,499.00","2,507.75","2,405.50","677.91K","-2.36%"
"02/13/2025","2,490.10","2,481.00","2,532.95","2,474.15","708.83K","0.21%"
"02/12/2025","2,484.95","2,479.00","2,498.90","2,433.75","454.02K","-0.26%"
"02/11/2025","2,491.45","2,460.00","2,542.00","2,456.05","1.71M","0.74%"
"02/10/2025","2,473.25","2,485.00","2,491.00","2,438.10","717.67K","-0.58%"
"02/07/2025","2,487.60","2,504.00","2,522.75","2,466.45","738.20K","-0.46%"
"02/06/2025","2,499.00","2,499.00","2,508.30","2,475.90","595.95K","0.36%"
"02/05/2025","2,490.00","2,499.00","2,499.90","2,474.30","464.16K","0.21%"
"02/04/2025","2,484.70","2,465.00","2,491.80","2,446.50","337.00K","0.45%"
"02/03/2025","2,473.65","2,418.00","2,479.75","2,418.00","427.22K","1.35%"
"02/01/2025","2,440.75","2,500.00","2,514.05","2,429.40","432.67K","-2.71%"
"01/31/2025","2,508.85","2,491.70","2,518.30","2,475.80","431.98K","0.69%"
"01/30/2025","2,491.70","2,458.70","2,508.55","2,446.50","397.05K","1.55%"
"01/29/2025","2,453.65","2,403.00","2,464.00","2,397.00","200.04K","1.76%"
"01/28/2025","2,411.30","2,458.00","2,459.95","2,399.80","740.04K","-1.90%"
"01/27/2025","2,458.05","2,475.50","2,484.40","2,430.40","458.26K","-1.31%"
"01/24/2025","2,490.75","2,466.35","2,514.05","2,453.45","1.51M","1.20%"
"01/23/2025","2,461.15","2,388.00","2,475.75","2,365.40","596.72K","3.06%"
"01/22/2025","2,388.15","2,380.95","2,396.45","2,370.30","336.55K","0.87%"
"01/21/2025","2,367.50","2,404.90","2,426.50","2,361.65","316.02K","-1.44%"
"01/20/2025","2,402.00","2,380.05","2,410.65","2,373.00","681.71K","1.10%"
