"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","1,703.50","1,705.20","1,713.60","1,698.15","730.63K","-0.51%"
"02/19/2025","1,712.30","1,723.20","1,731.60","1,703.45","1.29M","-0.76%"
"02/18/2025","1,725.50","1,706.00","1,728.50","1,701.25","1.51M","0.91%"
"02/17/2025","1,709.90","1,711.25","1,720.15","1,694.10","1.13M","-0.08%"
"02/14/2025","1,711.25","1,711.00","1,723.40","1,699.95","1.46M","0.48%"
"02/13/2025","1,703.10","1,712.00","1,729.95","1,700.25","1.84M","-0.83%"
"02/12/2025","1,717.30","1,723.90","1,742.40","1,699.15","2.21M","-0.34%"
"02/11/2025","1,723.20","1,742.80","1,749.00","1,715.00","1.70M","-0.61%"
"02/10/2025","1,733.85","1,723.95","1,740.00","1,712.10","1.82M","0.48%"
"02/07/2025","1,725.65","1,723.15","1,731.00","1,700.65","2.43M","0.12%"
"02/06/2025","1,723.50","1,723.85","1,728.45","1,712.85","2.06M","0.62%"
"02/05/2025","1,712.85","1,730.00","1,746.80","1,710.00","2.68M","-1.14%"
"02/04/2025","1,732.55","1,695.10","1,735.90","1,692.05","3.65M","2.40%"
"02/03/2025","1,692.00","1,665.00","1,700.60","1,661.50","2.66M","-0.12%"
"02/01/2025","1,694.00","1,726.00","1,731.95","1,688.00","569.02K","-1.82%"
"01/31/2025","1,725.45","1,709.05","1,738.20","1,709.05","2.03M","0.72%"
"01/30/2025","1,713.10","1,722.00","1,732.95","1,697.85","2.54M","-0.34%"
"01/29/2025","1,719.00","1,696.00","1,724.10","1,696.00","3.73M","1.52%"
"01/28/2025","1,693.25","1,711.95","1,730.50","1,691.00","5.08M","-1.09%"
"01/27/2025","1,711.95","1,775.00","1,779.75","1,707.30","4.17M","-4.51%"
"01/24/2025","1,792.85","1,800.00","1,829.40","1,791.10","3.17M","-0.78%"
"01/23/2025","1,807.00","1,817.05","1,828.95","1,804.20","3.75M","-1.13%"
"01/22/2025","1,827.70","1,808.20","1,831.45","1,804.05","3.01M","1.40%"
"01/21/2025","1,802.40","1,791.40","1,820.75","1,791.40","4.01M","0.35%"
"01/20/2025","1,796.20","1,790.10","1,799.00","1,762.60","3.40M","0.41%"
"01/17/2025","1,788.90","1,773.00","1,793.10","1,750.05","2.42M","0.15%"
