"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","1,689.55","1,711.00","1,713.00","1,685.30","7.68M","-2.18%"
"02/19/2025","1,727.20","1,717.00","1,737.90","1,712.45","5.94M","0.24%"
"02/18/2025","1,723.05","1,713.05","1,731.55","1,706.15","8.18M","0.33%"
"02/17/2025","1,717.35","1,685.20","1,720.00","1,681.25","6.47M","1.33%"
"02/14/2025","1,694.85","1,701.90","1,701.90","1,680.00","9.98M","-0.17%"
"02/13/2025","1,697.70","1,699.00","1,714.25","1,693.55","6.30M","-0.53%"
"02/12/2025","1,706.80","1,693.00","1,712.00","1,681.20","11.40M","0.32%"
"02/11/2025","1,701.40","1,703.00","1,711.00","1,688.70","11.36M","-0.84%"
"02/10/2025","1,715.75","1,717.30","1,723.45","1,708.50","8.60M","-0.98%"
"02/07/2025","1,732.75","1,750.00","1,767.00","1,725.00","11.75M","-0.64%"
"02/06/2025","1,743.85","1,735.50","1,749.00","1,724.00","13.38M","0.35%"
"02/05/2025","1,737.80","1,733.00","1,744.20","1,718.90","11.84M","0.98%"
"02/04/2025","1,720.90","1,688.70","1,725.80","1,680.05","14.31M","2.56%"
"02/03/2025","1,678.00","1,670.00","1,686.80","1,663.45","10.14M","-0.77%"
"02/01/2025","1,690.95","1,697.50","1,713.00","1,676.05","2.79M","-0.46%"
"01/31/2025","1,698.75","1,687.25","1,704.70","1,683.95","7.91M","0.43%"
"01/30/2025","1,691.50","1,681.00","1,697.90","1,672.55","12.87M","0.85%"
"01/29/2025","1,677.30","1,675.00","1,681.15","1,668.85","6.31M","0.41%"
"01/28/2025","1,670.40","1,647.00","1,684.30","1,647.00","15.09M","2.49%"
"01/27/2025","1,629.80","1,641.10","1,643.60","1,626.00","11.40M","-1.21%"
"01/24/2025","1,649.80","1,660.00","1,670.30","1,644.50","12.12M","-0.91%"
"01/23/2025","1,664.90","1,687.00","1,687.00","1,651.25","17.45M","-0.07%"
"01/22/2025","1,666.05","1,642.40","1,671.90","1,625.45","15.31M","1.44%"
"01/21/2025","1,642.40","1,658.25","1,661.05","1,633.05","15.58M","-0.54%"
"01/20/2025","1,651.25","1,626.00","1,660.95","1,626.00","8.78M","0.89%"
