"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","618.50","623.00","626.90","618.00","1.92M","-0.70%"
"02/19/2025","622.85","617.00","624.00","613.80","2.01M","0.63%"
"02/18/2025","618.95","624.00","626.00","611.35","1.89M","-0.69%"
"02/17/2025","623.25","626.20","627.00","613.95","1.86M","-0.47%"
"02/14/2025","626.20","630.00","633.90","622.50","1.69M","-0.54%"
"02/13/2025","629.60","629.15","640.00","627.65","2.81M","0.07%"
"02/12/2025","629.15","618.10","636.90","608.15","3.38M","1.71%"
"02/11/2025","618.60","632.25","634.85","612.95","2.33M","-2.69%"
"02/10/2025","635.70","636.00","640.80","626.75","3.39M","0.00%"
"02/07/2025","635.70","631.95","637.50","624.55","2.54M","0.59%"
"02/06/2025","631.95","626.45","638.40","623.15","4.84M","0.65%"
"02/05/2025","627.85","626.00","639.00","624.70","4.47M","0.31%"
"02/04/2025","625.90","627.95","628.00","615.40","3.24M","0.72%"
"02/03/2025","621.40","615.50","630.35","610.00","3.29M","-0.66%"
"02/01/2025","625.50","639.05","667.55","595.25","10.04M","-1.97%"
"01/31/2025","638.05","638.00","641.00","630.15","1.01M","0.61%"
"01/30/2025","634.15","624.70","636.10","624.00","2.90M","0.92%"
"01/29/2025","628.35","612.00","629.70","605.15","2.01M","2.75%"
"01/28/2025","611.55","610.95","614.00","600.10","2.66M","0.22%"
"01/27/2025","610.20","618.00","619.75","606.40","1.73M","-1.75%"
"01/24/2025","621.10","620.55","625.00","613.30","1.79M","0.02%"
"01/23/2025","621.00","618.00","625.20","612.60","1.67M","0.45%"
"01/22/2025","618.20","629.00","629.00","612.90","2.30M","-0.93%"
"01/21/2025","624.00","636.00","637.05","622.90","1.82M","-1.59%"
"01/20/2025","634.05","642.00","644.05","630.55","1.96M","-1.27%"
