"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","3,916.50","3,864.50","3,938.00","3,857.30","245.84K","0.96%"
"02/19/2025","3,879.15","3,840.90","3,898.90","3,815.00","453.66K","1.01%"
"02/18/2025","3,840.50","3,880.00","3,891.90","3,810.00","482.02K","-0.93%"
"02/17/2025","3,876.45","3,845.05","3,886.15","3,757.65","913.57K","0.36%"
"02/14/2025","3,862.40","3,960.05","3,981.10","3,850.00","475.95K","-2.38%"
"02/13/2025","3,956.55","4,005.00","4,025.10","3,945.10","557.08K","-1.47%"
"02/12/2025","4,015.75","4,007.00","4,066.60","3,955.05","619.47K","-1.71%"
"02/11/2025","4,085.55","4,200.00","4,239.00","4,071.00","593.08K","-2.64%"
"02/10/2025","4,196.45","4,306.30","4,320.95","4,170.10","779.45K","-1.83%"
"02/07/2025","4,274.65","4,319.95","4,319.95","4,215.60","1.34M","1.05%"
"02/06/2025","4,230.05","4,289.00","4,334.65","4,216.90","576.47K","-0.94%"
"02/05/2025","4,270.40","4,238.00","4,290.00","4,212.60","408.93K","0.79%"
"02/04/2025","4,237.10","4,324.00","4,350.00","4,220.00","554.23K","-1.16%"
"02/03/2025","4,286.65","4,420.00","4,430.00","4,228.20","846.14K","-2.62%"
"02/01/2025","4,402.15","4,330.00","4,522.95","4,236.05","1.14M","1.45%"
"01/31/2025","4,339.15","4,188.00","4,372.80","4,176.00","1.06M","3.86%"
"01/30/2025","4,177.80","4,079.20","4,187.00","4,060.05","807.12K","2.59%"
"01/29/2025","4,072.45","4,036.00","4,114.80","4,033.05","479.89K","1.14%"
"01/28/2025","4,026.35","4,020.00","4,062.30","4,000.00","444.09K","0.26%"
"01/27/2025","4,015.95","4,045.00","4,074.80","4,000.00","328.16K","-0.89%"
"01/24/2025","4,051.90","4,105.05","4,125.00","4,041.10","216.27K","-1.18%"
"01/23/2025","4,100.35","4,055.70","4,115.00","4,025.00","282.75K","1.10%"
"01/22/2025","4,055.70","4,027.00","4,072.00","4,027.00","272.89K","0.77%"
"01/21/2025","4,024.80","4,092.90","4,119.00","4,010.00","287.08K","-1.64%"
"01/20/2025","4,092.10","4,117.50","4,117.50","4,045.55","254.94K","-0.14%"
