"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","639.70","627.00","640.70","626.90","4.02M","2.14%"
"02/19/2025","626.30","607.00","628.35","606.55","6.10M","2.43%"
"02/18/2025","611.45","609.00","613.70","601.70","2.96M","0.10%"
"02/17/2025","610.85","606.20","611.90","589.65","4.47M","0.77%"
"02/14/2025","606.20","609.00","616.00","595.05","11.48M","0.61%"
"02/13/2025","602.50","596.05","607.95","590.10","4.42M","0.60%"
"02/12/2025","598.90","599.05","604.95","586.35","3.76M","0.51%"
"02/11/2025","595.85","594.05","607.00","591.65","5.30M","-0.03%"
"02/10/2025","596.00","605.00","606.10","589.50","3.43M","-1.88%"
"02/07/2025","607.40","595.45","610.60","594.00","4.69M","2.01%"
"02/06/2025","595.45","601.05","606.80","591.25","3.57M","-0.86%"
"02/05/2025","600.60","584.50","604.50","584.50","3.97M","2.85%"
"02/04/2025","583.95","580.50","595.90","580.20","5.32M","1.72%"
"02/03/2025","574.05","575.00","576.60","557.60","8.17M","-2.11%"
"02/01/2025","586.45","594.00","595.40","582.00","1.74M","-1.32%"
"01/31/2025","594.30","590.00","596.40","584.30","3.75M","1.10%"
"01/30/2025","587.85","586.90","601.85","581.70","4.60M","0.64%"
"01/29/2025","584.10","576.50","587.85","571.60","4.62M","1.79%"
"01/28/2025","573.85","590.10","591.65","568.30","6.25M","-2.22%"
"01/27/2025","586.90","600.05","601.60","585.35","2.92M","-3.30%"
"01/24/2025","606.90","608.70","615.35","599.90","4.61M","-0.22%"
"01/23/2025","608.25","611.00","616.20","607.20","6.83M","-0.85%"
"01/22/2025","613.45","615.00","615.40","605.35","4.43M","-0.24%"
"01/21/2025","614.95","626.05","628.35","613.45","3.53M","-0.52%"
"01/20/2025","618.15","617.05","621.95","612.25","3.00M","0.19%"
"01/17/2025","617.00","603.85","619.00","603.70","6.41M","2.39%"
"01/16/2025","602.60","596.00","607.00","590.55","4.96M","1.87%"
"01/15/2025","591.55","594.00","596.20","586.55","4.39M","0.11%"
"01/14/2025","590.90","569.90","591.95","568.35","8.51M","4.82%"
"01/13/2025","563.75","571.60","573.95","562.00","7.69M","-1.86%"
"01/10/2025","574.45","586.00","589.25","571.60","10.61M","-2.51%"
"01/09/2025","589.25","580.00","596.85","578.65","7.60M","0.44%"
"01/08/2025","586.65","582.75","587.60","577.45","4.08M","0.37%"
"01/07/2025","584.50","573.05","588.40","572.05","5.38M","1.81%"
"01/06/2025","574.10","592.60","593.85","571.60","11.20M","-2.88%"
"01/03/2025","591.15","599.00","599.75","590.00","6.29M","-1.31%"
"01/02/2025","599.00","594.90","600.55","588.60","8.53M","1.02%"
"01/01/2025","592.95","601.50","603.75","587.50","9.22M","-1.58%"
"12/31/2024","602.45","601.40","605.90","597.45","3.81M","0.22%"
"12/30/2024","601.10","615.40","620.30","599.15","8.02M","-2.64%"
"12/27/2024","617.40","628.75","632.85","615.70","3.39M","-1.81%"
"12/26/2024","628.75","630.00","633.45","626.75","4.48M","0.21%"
"12/24/2024","627.45","635.00","638.10","625.75","4.83M","-1.06%"
"12/23/2024","634.15","625.55","635.90","625.55","2.92M","1.85%"
"12/20/2024","622.65","629.35","640.60","620.70","5.96M","-1.06%"
"12/19/2024","629.35","620.60","633.25","614.10","5.20M","-0.58%"
"12/18/2024","633.00","641.95","642.05","628.25","3.75M","-1.01%"
"12/17/2024","639.45","649.50","653.60","637.10","4.80M","-2.15%"
"12/16/2024","653.50","661.30","666.60","652.05","2.62M","-1.30%"
"12/13/2024","662.10","663.00","665.55","648.00","4.20M","-0.99%"
"12/12/2024","668.70","675.00","679.80","662.00","6.59M","-0.27%"
"12/11/2024","670.50","671.00","679.80","668.05","3.42M","0.24%"
"12/10/2024","668.90","675.00","676.00","664.70","3.95M","-0.30%"
"12/09/2024","670.90","666.95","672.50","654.25","5.08M","0.11%"
"12/06/2024","670.15","673.45","676.50","667.25","2.72M","-0.10%"
"12/05/2024","670.85","664.00","673.95","658.70","5.16M","1.18%"
"12/04/2024","663.05","667.55","671.25","659.65","2.79M","-0.67%"
"12/03/2024","667.55","665.40","669.60","657.00","3.31M","0.75%"
"12/02/2024","662.60","656.20","663.40","653.05","2.17M","0.98%"
"11/29/2024","656.20","652.50","658.60","649.10","3.41M","0.92%"
"11/28/2024","650.25","661.00","663.15","647.60","4.69M","-1.64%"
"11/27/2024","661.10","667.20","669.80","660.15","2.91M","-0.75%"
"11/26/2024","666.10","662.90","670.25","659.25","3.60M","0.95%"
"11/25/2024","659.85","660.10","663.00","654.45","5.76M","1.19%"
"11/22/2024","652.10","652.95","657.30","647.40","3.59M","0.62%"
"11/21/2024","648.05","641.00","653.90","634.30","7.91M","1.26%"
"11/19/2024","640.00","651.10","655.55","637.65","5.02M","-1.70%"
"11/18/2024","651.05","641.90","663.10","639.90","13.62M","3.78%"
"11/14/2024","627.35","630.00","636.45","625.15","6.94M","0.12%"
"11/13/2024","626.60","648.00","649.90","622.55","7.87M","-3.84%"
"11/12/2024","651.65","668.00","673.50","648.15","12.01M","-0.56%"
"11/11/2024","655.35","647.45","657.60","638.70","4.93M","0.75%"
"11/08/2024","650.45","654.75","660.45","647.00","7.89M","0.36%"
"11/07/2024","648.10","682.00","687.70","646.30","26.67M","-8.49%"
"11/06/2024","708.20","706.00","714.25","687.85","5.50M","1.53%"
"11/05/2024","697.55","675.60","701.45","674.80","4.93M","3.45%"
"11/04/2024","674.30","689.00","689.90","661.60","5.25M","-2.40%"
"11/01/2024","690.90","687.50","693.90","687.20","472.90K","0.71%"
"10/31/2024","686.05","686.85","689.55","679.25","4.48M","-0.34%"
"10/30/2024","688.40","690.95","698.80","685.40","3.28M","-0.75%"
"10/29/2024","693.60","692.90","696.20","676.45","4.29M","0.10%"
"10/28/2024","692.90","681.00","697.00","680.80","2.59M","2.08%"
"10/25/2024","678.75","694.50","694.90","668.45","4.09M","-1.73%"
"10/24/2024","690.70","715.00","715.00","666.75","14.91M","-3.68%"
"10/23/2024","717.10","716.00","731.15","713.30","6.52M","-0.44%"
"10/22/2024","720.25","733.00","745.80","718.30","5.67M","-2.62%"
"10/21/2024","739.60","760.00","765.45","737.00","2.98M","-1.84%"
"10/18/2024","753.50","734.80","756.45","725.05","5.47M","2.54%"
"10/17/2024","734.80","741.10","747.30","732.35","6.21M","0.23%"
"10/16/2024","733.10","728.50","738.90","726.05","3.21M","0.85%"
"10/15/2024","726.95","746.00","750.00","720.65","3.06M","-2.16%"
"10/14/2024","743.00","746.00","755.00","739.45","2.54M","-0.58%"
"10/11/2024","747.35","736.00","749.95","733.05","5.22M","2.36%"
"10/10/2024","730.15","731.90","738.20","726.30","3.89M","0.36%"
"10/09/2024","727.55","710.00","735.75","710.00","3.73M","0.80%"
"10/08/2024","721.80","723.50","732.00","708.00","5.42M","-1.30%"
"10/07/2024","731.30","753.00","753.00","722.50","5.86M","-2.22%"
"10/04/2024","747.90","742.65","757.55","740.05","4.62M","0.11%"
"10/03/2024","747.10","750.00","772.65","744.70","5.65M","-1.90%"
"10/01/2024","761.55","755.00","765.50","745.20","4.40M","0.71%"
"09/30/2024","756.20","750.00","764.45","749.45","8.57M","1.21%"
"09/27/2024","747.15","746.95","757.70","742.10","12.94M","1.70%"
"09/26/2024","734.65","718.45","736.15","710.70","10.57M","2.25%"
"09/25/2024","718.45","725.00","730.90","715.55","9.53M","0.08%"
"09/24/2024","717.85","697.60","719.70","693.00","15.20M","3.95%"
"09/23/2024","690.55","695.50","698.00","687.95","2.81M","-0.55%"
"09/20/2024","694.40","692.10","698.80","688.75","9.75M","1.49%"
"09/19/2024","684.20","690.00","690.85","668.20","5.13M","-0.15%"
"09/18/2024","685.25","685.00","687.95","673.35","3.40M","0.33%"
"09/17/2024","683.00","689.00","692.00","681.10","3.40M","-0.31%"
"09/16/2024","685.15","680.10","687.55","676.55","4.26M","1.77%"
"09/13/2024","673.25","686.00","686.40","670.60","5.98M","-0.44%"
"09/12/2024","676.20","658.00","677.90","651.50","8.59M","4.40%"
"09/11/2024","647.70","658.60","658.60","645.40","3.83M","-1.79%"
"09/10/2024","659.50","664.90","666.80","653.70","3.30M","0.14%"
"09/09/2024","658.55","664.00","664.00","651.00","5.14M","-1.28%"
"09/06/2024","667.10","668.25","677.00","665.45","6.31M","-0.43%"
"09/05/2024","669.95","670.00","672.40","667.25","3.75M","0.47%"
"09/04/2024","666.80","666.65","673.80","661.25","5.82M","-1.78%"
"09/03/2024","678.90","687.65","692.70","677.55","4.46M","-0.73%"
"09/02/2024","683.90","706.70","706.70","683.20","6.19M","-2.49%"
"08/30/2024","701.35","699.00","708.50","695.10","7.40M","0.12%"
"08/29/2024","700.50","697.65","702.35","691.40","5.73M","-0.65%"
"08/28/2024","705.05","706.00","710.70","701.15","3.60M","0.22%"
"08/27/2024","703.50","711.90","712.95","702.75","6.47M","-1.17%"
"08/26/2024","711.85","694.40","712.90","689.50","11.52M","3.90%"
"08/23/2024","685.10","690.05","694.70","677.80","7.77M","-0.07%"
"08/22/2024","685.55","691.50","692.00","677.20","6.19M","-0.01%"
"08/21/2024","685.60","668.90","696.60","667.80","7.82M","1.89%"
"08/20/2024","672.90","663.00","674.30","661.05","10.30M","2.13%"
"08/19/2024","658.85","636.50","660.30","636.50","9.51M","3.89%"
"08/16/2024","634.15","633.95","642.00","630.20","6.57M","2.04%"
"08/14/2024","621.45","626.85","633.95","611.60","8.65M","0.01%"
"08/13/2024","621.40","634.40","634.40","619.20","6.79M","-1.26%"
"08/12/2024","629.35","619.00","634.40","616.50","3.59M","1.04%"
"08/09/2024","622.90","622.00","626.50","614.80","3.63M","1.44%"
"08/08/2024","614.05","625.00","631.00","613.00","5.40M","-1.55%"
"08/07/2024","623.70","625.00","629.45","616.75","4.84M","2.20%"
"08/06/2024","610.30","625.00","629.00","608.00","7.06M","-0.65%"
"08/05/2024","614.30","628.05","633.85","609.25","13.45M","-5.21%"
"08/02/2024","648.05","659.80","665.60","646.55","6.72M","-3.78%"
"08/01/2024","673.50","680.00","690.90","667.35","8.83M","0.58%"
"07/31/2024","669.60","667.00","674.00","664.25","8.55M","1.38%"
"07/30/2024","660.50","665.00","665.00","654.60","6.71M","-0.95%"
"07/29/2024","666.85","676.75","676.75","665.00","6.03M","-0.11%"
"07/26/2024","667.60","660.00","668.50","655.00","4.73M","3.26%"
"07/25/2024","646.55","641.95","649.00","633.30","6.17M","-0.78%"
"07/24/2024","651.60","653.00","656.65","645.00","2.61M","-0.29%"
"07/23/2024","653.50","672.30","673.20","638.70","9.60M","-2.80%"
"07/22/2024","672.30","655.00","675.00","650.85","3.29M","1.40%"
"07/19/2024","663.00","683.90","685.70","658.65","6.21M","-3.91%"
"07/18/2024","689.95","686.00","695.85","684.10","7.84M","-0.12%"
"07/16/2024","690.80","700.30","703.15","689.00","4.57M","-1.33%"
"07/15/2024","700.10","692.05","701.60","688.45","2.85M","1.16%"
"07/12/2024","692.05","697.50","702.45","686.10","3.84M","-0.61%"
"07/11/2024","696.30","702.00","702.00","692.00","6.86M","0.43%"
"07/10/2024","693.30","708.00","712.10","685.30","5.33M","-1.94%"
"07/09/2024","707.00","702.00","710.65","695.55","5.51M","1.41%"
"07/08/2024","697.20","703.65","705.90","691.65","2.64M","-0.28%"
"07/05/2024","699.15","694.00","702.50","693.50","5.17M","1.06%"
"07/04/2024","691.85","697.70","705.75","690.55","5.92M","0.03%"
"07/03/2024","691.65","698.90","703.00","683.40","5.88M","-0.45%"
"07/02/2024","694.75","689.90","703.30","688.40","5.48M","0.71%"
"07/01/2024","689.85","699.00","701.85","688.40","4.87M","-0.53%"
"06/28/2024","693.55","690.25","697.50","686.00","6.10M","1.21%"
"06/27/2024","685.25","678.00","687.70","672.10","7.14M","1.56%"
"06/26/2024","674.70","683.55","683.55","671.35","6.07M","-1.58%"
"06/25/2024","685.50","688.80","696.00","680.90","5.78M","0.04%"
"06/24/2024","685.25","679.60","687.70","675.10","8.01M","0.11%"
"06/21/2024","684.50","680.00","691.20","677.00","11.97M","1.18%"
"06/20/2024","676.50","665.00","684.35","661.75","6.65M","2.13%"
"06/19/2024","662.40","680.05","682.00","660.40","4.77M","-2.41%"
"06/18/2024","678.75","683.60","688.00","677.00","4.01M","-0.71%"
"06/14/2024","683.60","690.00","690.00","677.40","8.33M","0.43%"
"06/13/2024","680.70","678.00","684.65","676.05","9.56M","1.01%"
"06/12/2024","673.90","674.00","683.00","671.85","10.78M","0.14%"
"06/11/2024","672.95","680.00","681.25","672.05","5.16M","-0.51%"
"06/10/2024","676.40","677.05","684.85","673.05","4.05M","-0.58%"
"06/07/2024","680.35","677.50","687.00","672.45","7.17M","0.42%"
"06/06/2024","677.50","695.00","695.00","673.00","10.42M","-2.55%"
"06/05/2024","695.25","627.00","700.65","607.00","25.84M","7.12%"
"06/04/2024","649.05","697.00","697.00","594.25","24.25M","-6.74%"
"06/03/2024","695.95","715.00","715.25","692.80","7.08M","0.96%"
"05/31/2024","689.35","698.90","703.45","684.35","13.62M","-0.83%"
"05/30/2024","695.15","704.85","713.05","693.35","10.36M","-1.44%"
"05/29/2024","705.30","695.00","713.50","682.30","22.68M","3.52%"
"05/28/2024","681.30","682.00","698.00","678.35","12.93M","0.51%"
"05/27/2024","677.85","685.05","689.50","675.50","10.48M","0.68%"
"05/24/2024","673.25","679.25","690.45","671.05","15.93M","-0.52%"
"05/23/2024","676.80","675.15","678.55","665.95","9.75M","-1.13%"
"05/22/2024","684.55","698.55","698.70","677.40","8.00M","-1.30%"
"05/21/2024","693.60","666.30","695.40","663.20","15.98M","5.04%"
"05/18/2024","660.35","662.00","662.90","657.50","467.85K","0.75%"
"05/17/2024","655.45","653.00","658.80","650.40","5.03M","0.32%"
"05/16/2024","653.35","660.00","666.00","643.25","8.78M","-0.05%"
"05/15/2024","653.70","653.00","659.00","648.70","6.76M","1.09%"
"05/14/2024","646.65","644.35","649.50","638.20","8.34M","2.08%"
"05/13/2024","633.50","625.10","636.15","614.30","3.58M","1.26%"
"05/10/2024","625.60","620.10","629.55","618.00","4.36M","1.00%"
"05/09/2024","619.40","634.00","637.75","615.00","6.59M","-2.23%"
"05/08/2024","633.50","615.10","634.45","615.10","7.68M","2.14%"
"05/07/2024","620.20","646.90","646.90","611.75","10.79M","-2.91%"
"05/06/2024","638.80","650.00","655.00","629.30","10.09M","-1.28%"
"05/03/2024","647.10","655.05","655.05","638.40","10.63M","0.88%"
"05/02/2024","641.45","635.90","646.90","628.65","17.93M","-0.46%"
"04/30/2024","644.40","653.60","653.70","642.30","4.77M","-0.87%"
"04/29/2024","650.05","654.95","655.40","641.20","4.16M","0.12%"
"04/26/2024","649.30","650.95","661.60","643.00","7.55M","0.39%"
"04/25/2024","646.80","635.70","648.25","628.10","11.90M","1.68%"
"04/24/2024","636.10","611.80","637.65","608.70","11.78M","3.97%"
"04/23/2024","611.80","618.50","618.75","610.40","6.15M","-1.09%"
"04/22/2024","618.55","620.65","622.45","612.70","6.50M","0.62%"
"04/19/2024","614.75","609.00","616.30","600.70","6.44M","0.32%"
"04/18/2024","612.80","616.40","625.00","609.80","9.95M","0.65%"
"04/16/2024","608.85","612.70","621.40","606.80","10.72M","-0.63%"
"04/15/2024","612.70","615.00","625.40","605.70","27.07M","2.35%"
"04/12/2024","598.65","609.05","609.05","595.30","15.99M","-0.73%"
"04/10/2024","603.05","596.20","604.90","591.05","11.75M","2.45%"
"04/09/2024","588.60","578.10","595.45","574.00","7.83M","2.05%"
"04/08/2024","576.80","572.00","579.70","570.50","3.28M","1.18%"
"04/05/2024","570.05","572.50","575.00","567.60","4.88M","-1.33%"
"04/04/2024","577.75","590.00","590.00","568.95","7.25M","0.20%"
"04/03/2024","576.60","570.20","584.10","567.15","7.51M","0.95%"
"04/02/2024","571.20","571.00","572.30","561.55","4.63M","0.46%"
"04/01/2024","568.60","570.00","574.00","564.10","6.19M","1.49%"
"03/28/2024","560.25","561.00","566.65","555.30","8.33M","0.47%"
"03/27/2024","557.65","564.20","564.65","556.80","5.32M","-0.18%"
"03/26/2024","558.65","545.65","561.00","545.00","7.20M","1.99%"
"03/22/2024","547.75","539.70","550.65","537.35","5.52M","1.49%"
"03/21/2024","539.70","538.40","545.75","534.25","8.80M","2.24%"
"03/20/2024","527.85","533.00","535.50","516.35","5.01M","-1.09%"
"03/19/2024","533.65","532.00","539.75","529.25","7.12M","0.47%"
"03/18/2024","531.15","532.00","535.55","527.00","4.28M","-0.26%"
"03/15/2024","532.55","522.00","534.05","517.50","8.47M","1.39%"
"03/14/2024","525.25","512.00","526.35","507.00","10.35M","3.60%"
"03/13/2024","507.00","529.35","530.00","501.20","5.71M","-4.15%"
"03/12/2024","528.95","533.10","536.85","525.30","3.70M","-0.89%"
"03/11/2024","533.70","540.00","543.25","532.10","5.53M","-0.56%"
"03/07/2024","536.70","530.80","540.85","529.25","7.91M","1.85%"
"03/06/2024","526.95","522.05","527.90","513.95","4.64M","0.93%"
"03/05/2024","522.10","524.00","528.30","520.20","5.73M","-0.54%"
"03/04/2024","524.95","524.00","529.85","520.05","5.99M","0.40%"
"03/02/2024","522.85","520.95","523.90","519.00","619.59K","0.72%"
"03/01/2024","519.10","510.00","522.50","510.00","9.88M","3.03%"
"02/29/2024","503.85","506.50","508.00","499.00","16.86M","-0.11%"
"02/28/2024","504.40","512.50","514.45","501.75","4.41M","-1.03%"
"02/27/2024","509.65","505.50","512.20","504.70","6.74M","0.91%"
"02/26/2024","505.05","519.40","519.75","504.00","7.61M","-2.57%"
"02/23/2024","518.35","524.70","524.80","517.00","6.45M","-0.54%"
"02/22/2024","521.15","516.30","522.15","514.25","8.73M","1.83%"
"02/21/2024","511.80","535.00","538.00","510.00","18.11M","0.04%"
"02/20/2024","511.60","512.60","515.90","507.15","5.19M","-0.14%"
"02/19/2024","512.30","518.75","518.90","511.80","5.58M","-0.66%"
"02/16/2024","515.70","519.95","519.95","510.95","12.07M","0.49%"
"02/15/2024","513.20","512.70","518.50","507.60","13.30M","1.06%"
"02/14/2024","507.80","515.00","516.90","503.15","16.63M","-0.45%"
"02/13/2024","510.10","539.00","540.00","496.35","46.10M","-12.42%"
"02/12/2024","582.45","591.90","601.80","579.75","4.60M","-1.50%"
"02/09/2024","591.30","601.00","602.00","576.30","5.11M","-1.66%"
"02/08/2024","601.30","592.00","608.95","587.85","11.84M","1.53%"
"02/07/2024","592.25","590.40","602.15","584.65","9.42M","1.26%"
"02/06/2024","584.90","578.60","587.75","569.25","4.10M","0.86%"
"02/05/2024","579.90","583.50","590.90","576.05","4.80M","-0.62%"
"02/02/2024","583.50","577.00","589.00","573.10","7.15M","2.14%"
"02/01/2024","571.25","578.00","581.80","570.30","3.51M","-1.40%"
"01/31/2024","579.35","569.20","580.60","568.25","5.64M","1.77%"
"01/30/2024","569.25","569.95","584.30","567.25","7.97M","0.24%"
"01/29/2024","567.90","568.00","571.95","562.00","5.13M","0.12%"
"01/25/2024","567.20","566.50","570.00","558.40","5.37M","0.36%"
"01/24/2024","565.15","550.00","566.80","547.00","8.62M","4.39%"
"01/23/2024","541.40","558.00","561.80","537.60","7.87M","-3.50%"
"01/20/2024","561.05","561.00","566.75","558.35","1.50M","0.71%"
"01/19/2024","557.10","556.50","561.00","554.50","4.45M","0.40%"
"01/18/2024","554.90","560.25","561.35","547.80","3.78M","-0.95%"
"01/17/2024","560.25","570.95","572.70","558.10","6.15M","-3.33%"
"01/16/2024","579.55","575.95","584.85","569.45","5.19M","0.85%"
"01/15/2024","574.65","585.85","586.00","572.25","3.78M","-1.27%"
"01/12/2024","582.05","581.00","585.50","575.75","2.44M","0.88%"
"01/11/2024","576.95","582.95","587.00","575.50","3.90M","-0.53%"
"01/10/2024","580.05","576.00","582.00","570.65","2.41M","0.71%"
"01/09/2024","575.95","581.95","584.90","573.60","5.31M","-0.29%"
"01/08/2024","577.65","587.00","592.50","576.45","4.43M","-1.59%"
"01/05/2024","587.00","590.60","597.60","581.55","2.99M","-0.59%"
"01/04/2024","590.50","594.00","595.85","587.65","6.59M","-0.43%"
"01/03/2024","593.05","608.25","611.40","592.00","7.23M","-3.88%"
"01/02/2024","617.00","610.40","620.00","607.40","4.98M","1.08%"
"01/01/2024","610.40","614.50","620.50","606.95","2.96M","-0.72%"
