"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","2,250.00","2,250.40","2,254.45","2,226.50","1.16M","-0.02%"
"02/19/2025","2,250.40","2,298.75","2,305.70","2,248.00","1.52M","-1.99%"
"02/18/2025","2,296.00","2,329.40","2,338.55","2,288.00","1.04M","-1.43%"
"02/17/2025","2,329.40","2,318.35","2,336.00","2,300.00","1.41M","0.48%"
"02/14/2025","2,318.35","2,322.00","2,366.00","2,313.40","1.14M","-0.14%"
"02/13/2025","2,321.50","2,330.10","2,345.60","2,313.35","1.33M","-0.47%"
"02/12/2025","2,332.50","2,325.70","2,339.90","2,305.10","1.34M","0.75%"
"02/11/2025","2,315.25","2,371.00","2,377.95","2,296.55","1.39M","-1.96%"
"02/10/2025","2,361.45","2,370.90","2,398.00","2,352.05","1.33M","-0.10%"
"02/07/2025","2,363.85","2,380.00","2,381.95","2,336.10","855.60K","-0.37%"
"02/06/2025","2,372.70","2,400.00","2,408.95","2,360.30","1.13M","-0.77%"
"02/05/2025","2,391.05","2,453.00","2,453.00","2,387.00","1.36M","-1.93%"
"02/04/2025","2,438.05","2,450.00","2,450.00","2,402.85","1.99M","-0.16%"
"02/03/2025","2,441.95","2,505.00","2,520.00","2,416.50","2.53M","-2.56%"
"02/01/2025","2,506.05","2,475.00","2,602.00","2,435.15","2.97M","1.51%"
"01/31/2025","2,468.80","2,401.50","2,479.00","2,401.50","2.12M","2.49%"
"01/30/2025","2,408.75","2,384.00","2,425.00","2,384.00","1.42M","1.04%"
"01/29/2025","2,383.95","2,385.15","2,396.00","2,364.00","699.58K","-0.21%"
"01/28/2025","2,388.85","2,401.00","2,407.00","2,379.45","1.89M","-0.17%"
"01/27/2025","2,392.85","2,365.00","2,409.70","2,361.15","2.48M","1.05%"
"01/24/2025","2,368.10","2,332.85","2,380.80","2,323.00","1.69M","2.00%"
"01/23/2025","2,321.70","2,315.00","2,341.30","2,253.85","3.41M","-0.91%"
"01/22/2025","2,342.95","2,342.55","2,362.00","2,332.20","2.66M","0.10%"
"01/21/2025","2,340.50","2,353.50","2,377.30","2,332.45","1.84M","-0.20%"
"01/20/2025","2,345.20","2,356.45","2,368.00","2,335.65","1.38M","-0.37%"
