"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","1,249.25","1,255.35","1,263.25","1,246.75","5.07M","-0.98%"
"02/19/2025","1,261.65","1,234.85","1,264.45","1,230.25","10.68M","1.50%"
"02/18/2025","1,243.05","1,252.90","1,257.60","1,237.05","8.14M","-0.65%"
"02/17/2025","1,251.15","1,251.15","1,258.15","1,233.25","8.39M","-0.71%"
"02/14/2025","1,260.10","1,252.10","1,263.50","1,244.45","10.37M","0.90%"
"02/13/2025","1,248.90","1,252.55","1,266.00","1,245.90","7.26M","-0.23%"
"02/12/2025","1,251.80","1,257.20","1,269.75","1,244.65","8.81M","-0.08%"
"02/11/2025","1,252.75","1,255.85","1,261.85","1,248.40","6.59M","-0.78%"
"02/10/2025","1,262.60","1,257.20","1,265.00","1,249.35","5.74M","0.45%"
"02/07/2025","1,256.90","1,272.00","1,275.00","1,249.55","7.38M","-1.22%"
"02/06/2025","1,272.40","1,275.00","1,279.00","1,263.20","8.40M","0.37%"
"02/05/2025","1,267.70","1,270.20","1,277.75","1,265.15","6.84M","-0.04%"
"02/04/2025","1,268.20","1,262.80","1,280.50","1,260.00","14.84M","1.21%"
"02/03/2025","1,253.00","1,246.85","1,260.00","1,237.80","6.18M","-0.20%"
"02/01/2025","1,255.55","1,251.15","1,261.35","1,233.80","3.01M","0.22%"
"01/31/2025","1,252.80","1,254.50","1,256.00","1,239.10","10.20M","-0.22%"
"01/30/2025","1,255.60","1,250.00","1,259.85","1,239.50","11.92M","0.32%"
"01/29/2025","1,251.65","1,252.00","1,255.80","1,243.05","7.67M","0.38%"
"01/28/2025","1,246.90","1,247.35","1,264.00","1,236.00","18.07M","1.54%"
"01/27/2025","1,227.95","1,195.00","1,234.65","1,193.10","16.16M","1.55%"
"01/24/2025","1,209.20","1,203.10","1,218.00","1,202.00","9.22M","0.62%"
"01/23/2025","1,201.75","1,197.25","1,207.90","1,186.00","8.77M","0.11%"
"01/22/2025","1,200.45","1,201.00","1,207.50","1,191.80","10.38M","0.36%"
"01/21/2025","1,196.15","1,236.95","1,238.95","1,192.70","20.52M","-2.98%"
"01/20/2025","1,232.95","1,223.90","1,241.75","1,215.25","7.68M","0.61%"
