"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","401.70","399.95","403.85","397.60","9.28M","-1.16%"
"02/19/2025","406.40","404.80","408.80","404.50","7.08M","0.28%"
"02/18/2025","405.25","408.00","410.85","404.00","13.00M","-0.82%"
"02/17/2025","408.60","409.80","411.40","406.75","11.98M","-0.40%"
"02/14/2025","410.25","411.75","416.20","408.40","14.12M","0.13%"
"02/13/2025","409.70","409.95","413.95","409.00","12.99M","-0.05%"
"02/12/2025","409.90","413.15","413.80","407.60","13.88M","-2.01%"
"02/11/2025","418.30","428.80","430.55","417.50","14.29M","-2.08%"
"02/10/2025","427.20","427.00","433.30","426.50","12.23M","-0.85%"
"02/07/2025","430.85","440.00","445.50","428.40","18.88M","-2.32%"
"02/06/2025","441.10","450.00","450.00","438.20","17.47M","-1.57%"
"02/05/2025","448.15","455.15","455.85","446.50","12.84M","-1.54%"
"02/04/2025","455.15","458.00","460.35","448.75","18.92M","0.18%"
"02/03/2025","454.35","462.00","465.20","452.30","16.99M","-1.77%"
"02/01/2025","462.55","448.00","471.50","439.55","30.39M","3.36%"
"01/31/2025","447.50","436.50","448.20","435.10","13.55M","2.59%"
"01/30/2025","436.20","433.00","438.00","431.45","22.50M","0.66%"
"01/29/2025","433.35","435.95","437.50","430.10","15.16M","-0.48%"
"01/28/2025","435.45","440.00","441.80","434.50","20.81M","-1.06%"
"01/27/2025","440.10","440.80","445.00","436.55","10.48M","-0.34%"
"01/24/2025","441.60","439.40","445.00","439.05","9.67M","0.32%"
"01/23/2025","440.20","435.00","441.85","434.10","8.89M","0.73%"
"01/22/2025","437.00","439.90","441.95","436.55","9.62M","-0.13%"
"01/21/2025","437.55","438.00","447.00","435.25","15.69M","-0.03%"
"01/20/2025","437.70","439.00","441.20","436.00","8.74M","-0.57%"
