"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","1,042.60","1,029.95","1,046.70","1,026.30","1.11M","0.66%"
"02/19/2025","1,035.80","1,024.10","1,042.05","1,015.90","2.46M","1.14%"
"02/18/2025","1,024.10","1,045.00","1,051.50","1,021.35","2.62M","-2.30%"
"02/17/2025","1,048.25","1,024.40","1,050.95","1,013.10","2.80M","2.33%"
"02/14/2025","1,024.40","1,049.60","1,058.10","1,018.20","4.04M","-2.18%"
"02/13/2025","1,047.25","1,039.50","1,056.95","1,025.40","4.54M","0.73%"
"02/12/2025","1,039.65","1,060.45","1,063.95","1,020.25","4.80M","-1.38%"
"02/11/2025","1,054.15","1,063.50","1,074.90","1,047.65","4.11M","-1.30%"
"02/10/2025","1,068.00","1,076.00","1,082.00","1,062.70","4.46M","-1.03%"
"02/07/2025","1,079.10","1,061.50","1,086.55","1,061.50","3.98M","1.27%"
"02/06/2025","1,065.55","1,062.10","1,076.75","1,058.05","3.89M","0.41%"
"02/05/2025","1,061.20","1,052.40","1,078.70","1,052.40","5.00M","1.34%"
"02/04/2025","1,047.15","1,022.45","1,053.90","1,014.70","9.86M","3.40%"
"02/03/2025","1,012.70","994.00","1,023.95","990.10","3.66M","0.33%"
"02/01/2025","1,009.40","977.00","1,023.00","972.40","6.05M","1.84%"
"01/31/2025","991.20","957.55","999.30","953.10","5.37M","3.57%"
"01/30/2025","957.05","948.30","967.40","946.10","4.51M","0.92%"
"01/29/2025","948.30","935.70","953.00","931.95","2.57M","1.51%"
"01/28/2025","934.15","937.35","948.95","925.70","5.71M","0.83%"
"01/27/2025","926.45","947.00","947.00","923.70","3.91M","-2.56%"
"01/24/2025","950.80","970.85","973.00","948.25","2.94M","-2.08%"
"01/23/2025","970.95","965.95","988.55","962.50","3.36M","0.00%"
"01/22/2025","970.95","964.45","977.55","949.15","2.64M","1.09%"
"01/21/2025","960.45","971.55","978.50","958.00","3.37M","-1.06%"
"01/20/2025","970.70","966.20","980.45","948.10","4.49M","-0.03%"
"01/17/2025","970.95","972.85","975.60","959.00","3.07M","-0.45%"
"01/16/2025","975.35","967.00","990.65","967.00","3.95M","1.34%"
"01/15/2025","962.45","971.25","983.00","954.65","3.63M","0.04%"
"01/14/2025","962.10","945.10","979.30","945.10","5.74M","2.17%"
"01/13/2025","941.70","936.90","973.50","934.50","8.75M","0.44%"
"01/10/2025","937.60","971.75","975.00","933.05","5.61M","-4.41%"
"01/09/2025","980.90","981.05","985.35","970.40","3.13M","-0.02%"
"01/08/2025","981.05","985.90","986.00","967.10","3.78M","-0.26%"
"01/07/2025","983.60","970.15","994.55","970.15","3.58M","1.40%"
"01/06/2025","970.05","1,004.95","1,004.95","963.20","3.37M","-2.79%"
"01/03/2025","997.90","993.00","1,025.40","990.65","5.90M","0.66%"
"01/02/2025","991.35","975.50","998.00","968.80","3.96M","2.26%"
"01/01/2025","969.40","958.60","979.30","953.50","4.02M","0.96%"
"12/31/2024","960.15","958.00","961.45","949.05","2.30M","-0.35%"
"12/30/2024","963.50","953.30","973.50","948.85","8.17M","1.06%"
"12/27/2024","953.40","933.05","971.10","933.05","6.30M","2.30%"
"12/26/2024","931.95","940.00","945.00","928.25","5.26M","-0.36%"
"12/24/2024","935.30","941.00","946.00","929.80","5.60M","-1.10%"
"12/23/2024","945.70","938.95","948.80","930.05","2.50M","1.75%"
"12/20/2024","929.45","960.00","966.85","926.45","4.47M","-3.62%"
"12/19/2024","964.40","959.00","966.85","948.00","3.67M","-0.08%"
"12/18/2024","965.20","976.80","979.30","960.50","2.96M","-1.07%"
"12/17/2024","975.65","1,002.00","1,002.00","972.00","3.29M","-2.37%"
"12/16/2024","999.35","987.90","1,007.95","985.55","3.06M","1.29%"
"12/13/2024","986.65","991.00","997.65","965.55","5.67M","-1.13%"
"12/12/2024","997.95","986.00","1,005.50","986.00","5.77M","1.33%"
"12/11/2024","984.85","985.50","999.90","981.25","4.68M","0.06%"
"12/10/2024","984.30","983.00","988.40","979.10","3.84M","0.17%"
"12/09/2024","982.60","992.80","994.00","977.80","3.57M","-0.78%"
"12/06/2024","990.35","1,000.00","1,003.05","986.30","6.26M","-0.79%"
"12/05/2024","998.20","1,006.00","1,006.00","990.55","5.25M","-0.07%"
"12/04/2024","998.85","1,005.00","1,005.95","990.50","4.26M","0.05%"
"12/03/2024","998.35","993.00","1,011.50","991.40","4.67M","0.75%"
"12/02/2024","990.95","990.05","993.15","979.00","4.97M","-0.49%"
"11/29/2024","995.85","998.10","999.50","987.30","4.82M","0.23%"
"11/28/2024","993.60","1,005.95","1,013.40","991.35","4.82M","-0.83%"
"11/27/2024","1,001.95","1,012.00","1,012.00","994.50","4.80M","-0.76%"
"11/26/2024","1,009.60","1,011.70","1,017.70","998.10","2.39M","0.61%"
"11/25/2024","1,003.50","1,020.00","1,022.05","997.05","6.49M","0.53%"
"11/22/2024","998.20","986.00","1,002.45","981.40","4.03M","1.71%"
"11/21/2024","981.45","1,000.40","1,003.00","966.40","6.61M","-1.87%"
"11/19/2024","1,000.20","1,010.50","1,032.00","998.10","5.72M","-0.44%"
"11/18/2024","1,004.60","1,015.50","1,017.95","1,000.05","5.43M","-1.23%"
"11/14/2024","1,017.15","1,043.00","1,045.00","1,015.00","2.61M","-1.89%"
"11/13/2024","1,036.70","1,053.80","1,067.80","1,032.20","4.85M","-2.16%"
"11/12/2024","1,059.55","1,061.30","1,065.45","1,051.55","2.19M","-0.12%"
"11/11/2024","1,060.80","1,053.00","1,067.50","1,040.00","4.92M","0.66%"
"11/08/2024","1,053.80","1,061.45","1,061.45","1,048.05","2.11M","-0.28%"
"11/07/2024","1,056.80","1,086.00","1,086.00","1,051.00","4.90M","-1.93%"
"11/06/2024","1,077.65","1,092.30","1,098.60","1,068.25","7.15M","-1.14%"
"11/05/2024","1,090.10","1,063.70","1,092.40","1,062.00","4.84M","2.47%"
"11/04/2024","1,063.80","1,067.00","1,070.50","1,054.10","5.14M","0.12%"
"11/01/2024","1,062.50","1,061.45","1,069.90","1,058.55","441.08K","0.65%"
"10/31/2024","1,055.60","1,054.00","1,066.90","1,044.00","4.51M","-0.08%"
"10/30/2024","1,056.40","1,037.65","1,069.40","1,030.25","8.91M","1.76%"
"10/29/2024","1,038.15","1,058.80","1,058.80","1,018.10","7.95M","-1.58%"
"10/28/2024","1,054.80","1,051.40","1,084.65","1,031.00","11.10M","1.27%"
"10/25/2024","1,041.60","1,163.00","1,166.75","1,025.50","56.94M","-18.63%"
"10/24/2024","1,280.05","1,276.00","1,285.95","1,258.15","2.44M","0.45%"
"10/23/2024","1,274.30","1,274.35","1,284.90","1,266.50","4.86M","0.00%"
"10/22/2024","1,274.35","1,309.10","1,312.20","1,271.25","4.18M","-2.59%"
"10/21/2024","1,308.25","1,352.05","1,353.95","1,299.60","5.86M","-2.89%"
"10/18/2024","1,347.25","1,345.00","1,354.95","1,331.00","3.68M","-0.01%"
"10/17/2024","1,347.35","1,348.00","1,354.25","1,337.00","1.35M","0.08%"
"10/16/2024","1,346.30","1,355.00","1,358.35","1,341.10","2.13M","-1.07%"
"10/15/2024","1,360.90","1,371.00","1,374.45","1,349.45","2.78M","-0.70%"
"10/14/2024","1,370.45","1,354.60","1,371.50","1,348.30","1.38M","1.70%"
"10/11/2024","1,347.60","1,360.10","1,371.30","1,339.00","2.76M","-0.65%"
"10/10/2024","1,356.40","1,350.00","1,362.00","1,344.30","1.67M","1.11%"
"10/09/2024","1,341.55","1,369.00","1,371.50","1,335.55","5.27M","-1.32%"
"10/08/2024","1,359.55","1,357.85","1,371.00","1,343.55","2.43M","0.64%"
"10/07/2024","1,350.85","1,388.00","1,394.05","1,338.20","3.88M","-2.31%"
"10/04/2024","1,382.85","1,384.05","1,410.95","1,380.85","2.18M","-0.35%"
"10/03/2024","1,387.75","1,404.00","1,412.70","1,382.05","2.08M","-1.56%"
"10/01/2024","1,409.70","1,450.00","1,450.30","1,404.65","3.38M","-2.62%"
"09/30/2024","1,447.60","1,467.00","1,474.80","1,437.00","2.89M","-1.03%"
"09/27/2024","1,462.70","1,457.00","1,481.00","1,454.00","4.71M","0.69%"
"09/26/2024","1,452.70","1,445.00","1,457.30","1,437.30","3.39M","0.92%"
"09/25/2024","1,439.50","1,450.00","1,456.00","1,432.25","3.01M","-0.61%"
"09/24/2024","1,448.30","1,470.10","1,474.10","1,446.00","3.89M","-1.15%"
"09/23/2024","1,465.10","1,490.20","1,490.85","1,453.05","4.61M","-1.02%"
"09/20/2024","1,480.20","1,488.00","1,491.95","1,473.20","5.34M","-0.31%"
"09/19/2024","1,484.75","1,494.95","1,498.00","1,474.90","3.86M","0.30%"
"09/18/2024","1,480.25","1,470.00","1,488.75","1,461.15","3.97M","0.95%"
"09/17/2024","1,466.35","1,478.00","1,483.50","1,462.25","1.87M","-0.26%"
"09/16/2024","1,470.20","1,469.95","1,473.95","1,461.10","1.50M","0.42%"
"09/13/2024","1,464.05","1,450.00","1,470.95","1,442.35","3.00M","1.43%"
"09/12/2024","1,443.35","1,425.15","1,446.50","1,420.15","2.44M","1.56%"
"09/11/2024","1,421.20","1,435.40","1,438.95","1,417.80","2.62M","-1.00%"
"09/10/2024","1,435.55","1,428.90","1,438.50","1,420.60","2.41M","0.52%"
"09/09/2024","1,428.10","1,409.35","1,431.00","1,400.10","1.80M","1.33%"
"09/06/2024","1,409.35","1,426.45","1,438.20","1,401.50","2.61M","-0.95%"
"09/05/2024","1,422.90","1,443.00","1,444.00","1,418.90","3.43M","-0.80%"
"09/04/2024","1,434.40","1,417.00","1,439.25","1,417.00","2.92M","-0.16%"
"09/03/2024","1,436.70","1,450.00","1,451.90","1,433.90","2.35M","-0.85%"
"09/02/2024","1,449.05","1,425.25","1,451.25","1,425.25","4.02M","1.67%"
"08/30/2024","1,425.25","1,422.15","1,430.00","1,415.55","2.79M","0.55%"
"08/29/2024","1,417.45","1,414.20","1,423.05","1,405.25","3.32M","0.12%"
"08/28/2024","1,415.75","1,389.05","1,421.95","1,382.55","6.53M","2.35%"
"08/27/2024","1,383.20","1,385.90","1,387.15","1,377.55","1.17M","-0.09%"
"08/26/2024","1,384.50","1,395.30","1,395.55","1,379.80","2.54M","-0.29%"
"08/23/2024","1,388.55","1,382.00","1,390.30","1,373.80","2.25M","0.48%"
"08/22/2024","1,381.90","1,384.05","1,395.95","1,379.60","3.51M","-0.15%"
"08/21/2024","1,384.00","1,380.00","1,387.35","1,366.40","5.44M","0.20%"
"08/20/2024","1,381.30","1,363.90","1,391.65","1,357.20","5.51M","2.50%"
"08/19/2024","1,347.60","1,370.05","1,375.80","1,345.55","5.90M","-1.21%"
"08/16/2024","1,364.15","1,347.10","1,367.90","1,338.55","5.46M","1.95%"
"08/14/2024","1,338.10","1,356.95","1,356.95","1,335.95","4.87M","-0.93%"
"08/13/2024","1,350.60","1,355.00","1,371.65","1,343.50","3.91M","-0.02%"
"08/12/2024","1,350.85","1,349.80","1,357.60","1,336.65","4.44M","0.08%"
"08/09/2024","1,349.80","1,367.00","1,367.00","1,338.05","5.08M","0.19%"
"08/08/2024","1,347.30","1,347.95","1,355.80","1,334.00","3.67M","0.16%"
"08/07/2024","1,345.15","1,391.00","1,399.50","1,329.20","8.73M","-2.60%"
"08/06/2024","1,381.00","1,395.00","1,407.30","1,376.25","2.43M","-0.61%"
"08/05/2024","1,389.45","1,388.00","1,396.20","1,369.00","3.53M","-1.06%"
"08/02/2024","1,404.30","1,413.95","1,413.95","1,392.70","3.27M","-1.10%"
"08/01/2024","1,419.85","1,432.00","1,440.00","1,416.80","4.07M","-0.56%"
