"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","980.85","977.00","984.65","977.00","615.99K","0.36%"
"02/19/2025","977.35","975.60","989.90","971.10","1.58M","-0.15%"
"02/18/2025","978.80","975.00","981.20","962.80","1.80M","0.54%"
"02/17/2025","973.55","964.60","975.00","954.10","1.32M","0.93%"
"02/14/2025","964.60","972.90","983.70","954.25","2.69M","-0.54%"
"02/13/2025","969.80","954.00","984.00","953.25","1.41M","1.40%"
"02/12/2025","956.40","952.90","962.95","938.10","2.77M","0.20%"
"02/11/2025","954.50","950.05","967.50","948.55","2.54M","-0.48%"
"02/10/2025","959.15","974.00","974.00","948.25","1.67M","-2.20%"
"02/07/2025","980.75","950.95","985.00","947.80","2.85M","3.41%"
"02/06/2025","948.40","950.55","956.55","942.00","3.06M","-0.16%"
"02/05/2025","949.90","941.10","954.80","941.10","1.21M","0.60%"
"02/04/2025","944.25","936.35","949.45","934.30","1.26M","1.10%"
"02/03/2025","933.95","915.00","937.45","914.00","1.13M","-0.03%"
"02/01/2025","934.25","947.85","955.20","911.65","1.34M","-1.14%"
"01/31/2025","945.00","949.75","959.90","940.55","2.04M","-0.62%"
"01/30/2025","950.85","937.90","956.00","936.20","2.02M","1.41%"
"01/29/2025","937.60","913.60","941.05","908.00","1.30M","2.34%"
"01/28/2025","916.15","923.40","925.60","904.50","1.10M","-0.35%"
"01/27/2025","919.35","901.10","927.00","901.10","3.91M","-1.40%"
"01/24/2025","932.45","930.00","953.00","925.15","3.54M","0.27%"
"01/23/2025","929.90","919.05","937.35","912.80","1.27M","1.14%"
"01/22/2025","919.40","932.00","932.00","907.15","1.08M","-0.80%"
"01/21/2025","926.85","925.00","933.00","919.55","1.47M","0.83%"
"01/20/2025","919.20","908.60","925.65","900.50","1.30M","1.17%"
"01/17/2025","908.60","906.80","917.50","905.25","911.26K","0.20%"
"01/16/2025","906.80","910.00","914.40","900.10","1.95M","0.30%"
"01/15/2025","904.05","910.00","912.70","901.50","1.58M","-0.22%"
"01/14/2025","906.05","882.50","911.30","882.50","1.95M","2.52%"
"01/13/2025","883.75","895.95","898.70","880.00","1.42M","-1.82%"
"01/10/2025","900.10","890.95","908.00","880.25","1.61M","1.03%"
"01/09/2025","890.95","901.00","908.95","888.80","1.46M","-1.26%"
"01/08/2025","902.30","910.00","911.95","895.15","744.60K","-1.04%"
"01/07/2025","911.80","901.55","913.70","899.20","688.21K","1.21%"
"01/06/2025","900.90","915.05","919.85","897.90","1.10M","-1.55%"
"01/03/2025","915.05","914.00","924.70","908.50","2.69M","0.28%"
"01/02/2025","912.50","909.50","915.70","901.45","1.64M","0.78%"
"01/01/2025","905.45","901.15","910.00","890.70","1.02M","0.44%"
"12/31/2024","901.50","898.05","906.40","896.60","1.03M","0.28%"
"12/30/2024","898.95","913.30","916.70","895.60","1.96M","-1.57%"
"12/27/2024","913.30","914.65","926.50","911.25","1.92M","-0.13%"
"12/26/2024","914.45","921.85","929.40","913.10","2.06M","-0.80%"
"12/24/2024","921.85","937.05","937.95","918.45","2.05M","-1.62%"
"12/23/2024","937.05","936.00","950.95","921.60","3.99M","2.15%"
"12/20/2024","917.35","926.00","941.70","912.05","29.00M","-0.93%"
"12/19/2024","925.95","934.05","942.70","921.60","1.93M","-2.21%"
"12/18/2024","946.85","967.05","969.50","941.55","1.61M","-2.07%"
"12/17/2024","966.85","990.35","990.80","961.00","1.67M","-2.37%"
"12/16/2024","990.35","1,004.00","1,006.30","984.00","1.22M","-0.95%"
"12/13/2024","999.85","995.00","1,003.50","973.05","2.44M","-0.59%"
"12/12/2024","1,005.80","1,005.00","1,012.95","991.00","1.51M","0.56%"
"12/11/2024","1,000.20","1,015.90","1,020.50","997.10","1.25M","-1.26%"
"12/10/2024","1,012.95","1,021.00","1,023.50","1,006.65","2.23M","0.10%"
"12/09/2024","1,011.90","1,005.50","1,015.50","993.80","1.46M","0.81%"
"12/06/2024","1,003.80","999.90","1,008.00","994.65","1.22M","0.46%"
"12/05/2024","999.20","991.00","1,009.95","977.00","2.22M","0.44%"
"12/04/2024","994.85","996.10","1,003.00","985.35","1.03M","-0.40%"
"12/03/2024","998.80","995.00","1,015.50","991.05","2.12M","0.91%"
"12/02/2024","989.80","965.90","991.55","961.75","1.27M","2.46%"
"11/29/2024","966.00","959.00","971.70","953.40","1.33M","1.24%"
"11/28/2024","954.15","968.85","974.95","949.05","2.96M","-1.52%"
"11/27/2024","968.85","963.35","972.00","955.25","1.33M","0.54%"
"11/26/2024","963.60","955.00","966.80","950.60","1.18M","1.08%"
"11/25/2024","953.30","975.00","980.45","945.65","4.56M","-2.46%"
"11/22/2024","977.35","947.90","981.30","939.05","1.89M","3.52%"
"11/21/2024","944.15","941.00","950.95","936.45","1.67M","-0.33%"
"11/19/2024","947.30","949.85","960.95","945.00","617.41K","-0.27%"
"11/18/2024","949.85","935.05","956.05","934.90","1.14M","1.15%"
"11/14/2024","939.05","935.05","949.35","932.45","1.66M","0.33%"
"11/13/2024","935.95","953.50","958.25","928.05","1.17M","-2.23%"
"11/12/2024","957.25","987.00","987.80","953.65","731.82K","-2.22%"
"11/11/2024","979.00","988.00","995.45","972.00","1.34M","-1.75%"
"11/08/2024","996.40","994.00","1,001.55","976.50","3.57M","0.67%"
"11/07/2024","989.80","1,014.00","1,018.95","985.65","2.48M","-1.87%"
"11/06/2024","1,008.65","1,000.00","1,015.05","984.70","2.76M","0.92%"
"11/05/2024","999.50","954.90","1,003.00","952.00","5.18M","4.67%"
"11/04/2024","954.90","965.05","968.85","941.10","957.72K","-1.38%"
"11/01/2024","968.30","969.90","978.00","965.00","136.51K","0.48%"
"10/31/2024","963.65","958.00","967.85","954.45","1.45M","0.66%"
"10/30/2024","957.30","966.20","968.55","952.30","733.89K","-0.16%"
"10/29/2024","958.80","972.45","972.80","947.00","1.03M","-0.87%"
"10/28/2024","967.25","936.00","972.45","909.00","1.74M","2.48%"
"10/25/2024","943.85","958.10","959.95","926.80","2.54M","-1.49%"
