"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","1,968.10","1,982.30","1,982.30","1,960.00","2.86M","-0.85%"
"02/19/2025","1,985.00","1,963.95","1,994.90","1,962.00","3.91M","1.10%"
"02/18/2025","1,963.35","1,942.05","1,966.00","1,939.15","4.34M","0.93%"
"02/17/2025","1,945.30","1,955.00","1,963.95","1,932.65","2.30M","-0.36%"
"02/14/2025","1,952.40","1,974.00","1,974.00","1,933.35","2.61M","-1.03%"
"02/13/2025","1,972.80","1,963.00","1,992.80","1,960.55","12.68M","1.48%"
"02/12/2025","1,943.95","1,923.45","1,949.00","1,904.95","3.22M","1.32%"
"02/11/2025","1,918.60","1,964.60","1,970.50","1,906.60","3.51M","-2.12%"
"02/10/2025","1,960.15","1,935.30","1,965.00","1,923.55","3.57M","1.60%"
"02/07/2025","1,929.25","1,921.00","1,960.60","1,907.90","4.41M","0.69%"
"02/06/2025","1,915.95","1,917.00","1,920.00","1,896.45","3.19M","0.22%"
"02/05/2025","1,911.75","1,937.80","1,938.95","1,902.35","3.43M","-0.87%"
"02/04/2025","1,928.50","1,891.05","1,941.20","1,877.20","5.33M","2.33%"
"02/03/2025","1,884.50","1,893.60","1,903.80","1,881.55","3.32M","-0.98%"
"02/01/2025","1,903.10","1,899.00","1,917.15","1,871.60","1.10M","0.09%"
"01/31/2025","1,901.30","1,903.05","1,908.95","1,889.60","2.33M","-0.01%"
"01/30/2025","1,901.50","1,920.35","1,938.10","1,877.45","4.24M","-0.98%"
"01/29/2025","1,920.35","1,887.80","1,924.70","1,885.00","2.35M","1.73%"
"01/28/2025","1,887.75","1,895.00","1,905.00","1,870.80","5.16M","0.34%"
"01/27/2025","1,881.40","1,875.00","1,898.80","1,862.75","1.93M","-0.25%"
"01/24/2025","1,886.20","1,891.00","1,918.50","1,873.05","4.03M","-0.46%"
"01/23/2025","1,894.85","1,907.10","1,923.95","1,892.10","3.16M","-1.18%"
"01/22/2025","1,917.50","1,899.00","1,920.50","1,887.05","4.18M","1.28%"
"01/21/2025","1,893.30","1,920.95","1,920.95","1,891.00","4.42M","-1.42%"
"01/20/2025","1,920.50","1,890.00","1,929.90","1,866.00","13.32M","9.21%"
