"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","3,278.10","3,260.05","3,285.05","3,249.75","660.70K","0.07%"
"02/19/2025","3,275.90","3,220.15","3,302.85","3,211.60","1.68M","1.73%"
"02/18/2025","3,220.15","3,227.00","3,241.00","3,183.00","2.43M","-0.05%"
"02/17/2025","3,221.85","3,213.55","3,239.40","3,194.55","1.97M","-0.49%"
"02/14/2025","3,237.65","3,275.05","3,285.80","3,221.55","1.38M","-0.80%"
"02/13/2025","3,263.65","3,289.65","3,314.90","3,252.95","2.13M","-0.79%"
"02/12/2025","3,289.65","3,259.00","3,300.00","3,222.25","1.63M","1.54%"
"02/11/2025","3,239.65","3,360.95","3,361.00","3,231.00","2.59M","-2.67%"
"02/10/2025","3,328.65","3,347.80","3,349.00","3,294.05","1.24M","-0.25%"
"02/07/2025","3,336.90","3,367.00","3,369.95","3,311.10","1.72M","-0.47%"
"02/06/2025","3,352.75","3,404.00","3,404.00","3,342.70","2.87M","-0.90%"
"02/05/2025","3,383.20","3,444.65","3,450.95","3,379.45","2.67M","-1.63%"
"02/04/2025","3,439.15","3,316.00","3,449.00","3,307.25","4.74M","4.56%"
"02/03/2025","3,289.20","3,420.00","3,420.00","3,270.00","6.08M","-4.59%"
"02/01/2025","3,447.50","3,578.00","3,629.20","3,402.00","4.75M","-3.36%"
"01/31/2025","3,567.40","3,501.05","3,590.00","3,481.05","4.00M","4.28%"
"01/30/2025","3,420.95","3,455.00","3,517.80","3,395.00","2.72M","-0.83%"
"01/29/2025","3,449.70","3,431.00","3,455.00","3,412.00","1.24M","1.05%"
"01/28/2025","3,413.90","3,464.95","3,482.15","3,404.05","1.66M","-1.27%"
"01/27/2025","3,457.65","3,447.20","3,493.90","3,401.15","1.55M","-0.02%"
"01/24/2025","3,458.20","3,514.50","3,521.10","3,446.05","1.21M","-1.29%"
"01/23/2025","3,503.25","3,492.00","3,527.80","3,460.60","1.99M","-0.42%"
"01/22/2025","3,518.20","3,563.00","3,582.35","3,490.10","1.63M","-0.65%"
"01/21/2025","3,541.10","3,612.75","3,643.30","3,528.10","2.58M","-1.44%"
"01/20/2025","3,593.00","3,574.90","3,617.15","3,556.50","1.59M","0.68%"
"01/17/2025","3,568.65","3,524.00","3,579.85","3,511.95","1.60M","1.73%"
"01/16/2025","3,507.90","3,535.00","3,543.45","3,483.75","2.31M","0.19%"
"01/15/2025","3,501.40","3,471.30","3,526.15","3,471.30","1.16M","1.12%"
"01/14/2025","3,462.60","3,465.85","3,491.95","3,448.60","2.92M","-0.05%"
"01/13/2025","3,464.30","3,505.55","3,534.50","3,448.60","2.14M","-2.03%"
"01/10/2025","3,536.15","3,499.95","3,552.20","3,492.30","1.79M","0.23%"
"01/09/2025","3,527.90","3,599.90","3,606.30","3,486.00","2.92M","-1.90%"
