"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","2,834.55","2,745.10","2,837.55","2,690.50","2.68M","2.80%"
"02/19/2025","2,757.40","2,750.00","2,782.65","2,728.00","2.67M","-1.17%"
"02/18/2025","2,790.05","2,844.00","2,845.00","2,755.90","2.30M","-1.48%"
"02/17/2025","2,831.95","2,940.80","2,955.00","2,792.25","4.77M","-3.76%"
"02/14/2025","2,942.60","2,999.00","3,020.00","2,907.05","1.96M","-1.19%"
"02/13/2025","2,978.00","3,024.95","3,047.00","2,971.05","2.48M","-0.31%"
"02/12/2025","2,987.20","3,068.55","3,075.00","2,955.10","4.61M","-3.20%"
"02/11/2025","3,085.95","3,146.85","3,154.00","3,071.10","2.47M","-1.64%"
"02/10/2025","3,137.25","3,209.20","3,270.95","3,128.80","3.85M","-1.91%"
"02/07/2025","3,198.45","3,168.00","3,219.95","3,110.00","4.79M","1.86%"
"02/06/2025","3,139.95","3,170.00","3,180.85","3,121.25","2.34M","-1.22%"
"02/05/2025","3,178.75","3,189.05","3,218.65","3,142.00","2.26M","-0.32%"
"02/04/2025","3,189.05","3,225.00","3,270.55","3,137.85","3.86M","0.50%"
"02/03/2025","3,173.30","3,056.60","3,187.95","3,044.75","3.66M","3.14%"
"02/01/2025","3,076.75","2,990.00","3,098.95","2,990.00","2.67M","2.91%"
"01/31/2025","2,989.85","2,970.00","3,049.85","2,955.10","2.41M","0.62%"
"01/30/2025","2,971.45","2,924.35","3,008.90","2,919.00","3.06M","1.61%"
"01/29/2025","2,924.35","2,883.95","2,933.50","2,856.30","1.81M","1.87%"
"01/28/2025","2,870.60","2,835.00","2,925.00","2,784.00","2.43M","1.38%"
"01/27/2025","2,831.60","2,772.30","2,846.90","2,754.15","2.02M","1.08%"
"01/24/2025","2,801.40","2,875.00","2,896.00","2,790.00","2.67M","-2.95%"
"01/23/2025","2,886.45","2,826.45","2,899.40","2,810.00","2.65M","2.12%"
"01/22/2025","2,826.45","2,848.00","2,851.90","2,805.85","3.13M","0.18%"
"01/21/2025","2,821.30","2,900.10","2,907.00","2,808.90","3.38M","-2.31%"
"01/20/2025","2,888.10","2,910.00","2,935.95","2,877.30","2.91M","-1.00%"
"01/17/2025","2,917.35","2,969.95","2,970.35","2,903.10","2.00M","-2.12%"
"01/16/2025","2,980.60","2,978.15","2,997.40","2,945.00","2.60M","0.69%"
"01/15/2025","2,960.25","3,057.10","3,063.95","2,951.00","2.44M","-2.93%"
"01/14/2025","3,049.50","3,000.00","3,078.45","2,999.65","2.85M","1.66%"
"01/13/2025","2,999.65","3,053.65","3,066.85","2,993.45","2.21M","-3.01%"
"01/10/2025","3,092.85","3,110.00","3,149.60","3,055.00","2.34M","-1.08%"
"01/09/2025","3,126.50","3,103.80","3,157.90","3,085.35","2.43M","1.31%"
"01/08/2025","3,086.10","3,135.00","3,135.00","3,057.00","2.72M","-0.73%"
"01/07/2025","3,108.85","3,110.00","3,131.30","3,081.75","1.98M","0.10%"
"01/06/2025","3,105.70","3,209.60","3,235.00","3,090.10","2.66M","-2.66%"
"01/03/2025","3,190.55","3,215.00","3,237.05","3,175.70","2.26M","-0.64%"
"01/02/2025","3,211.10","3,100.00","3,228.10","3,085.05","4.30M","4.19%"
"01/01/2025","3,082.00","3,007.10","3,086.95","2,995.20","1.69M","2.49%"
"12/31/2024","3,007.10","2,994.40","3,018.90","2,971.20","1.54M","0.14%"
"12/30/2024","3,002.90","3,028.05","3,044.60","2,991.05","2.34M","-1.53%"
"12/27/2024","3,049.45","2,987.20","3,064.00","2,978.05","2.29M","2.48%"
"12/26/2024","2,975.65","2,925.00","2,984.45","2,923.35","2.16M","1.60%"
"12/24/2024","2,928.70","2,909.40","2,950.20","2,900.80","1.86M","0.67%"
"12/23/2024","2,909.30","2,918.00","2,942.40","2,891.10","2.14M","0.10%"
"12/20/2024","2,906.35","3,014.65","3,025.00","2,886.35","8.05M","-3.59%"
"12/19/2024","3,014.65","3,006.00","3,045.00","2,970.50","2.37M","-1.20%"
"12/18/2024","3,051.20","3,026.10","3,062.00","3,024.55","2.01M","0.32%"
"12/17/2024","3,041.50","3,055.10","3,093.75","3,028.00","2.56M","-1.41%"
"12/16/2024","3,084.85","3,089.40","3,092.15","3,040.00","2.30M","0.11%"
"12/13/2024","3,081.40","3,051.00","3,093.10","3,000.00","2.47M","0.45%"
"12/12/2024","3,067.45","3,084.80","3,086.00","3,045.00","1.96M","-0.15%"
"12/11/2024","3,072.05","3,052.00","3,115.00","3,047.80","2.41M","0.17%"
"12/10/2024","3,066.90","3,047.95","3,081.25","3,005.30","2.06M","0.51%"
"12/09/2024","3,051.25","3,063.40","3,073.00","3,040.00","1.88M","-0.71%"
"12/06/2024","3,073.00","3,075.50","3,099.00","3,065.95","2.69M","0.05%"
"12/05/2024","3,071.60","3,049.95","3,099.00","3,016.05","3.80M","1.31%"
"12/04/2024","3,031.75","3,003.00","3,051.85","3,003.00","3.36M","0.15%"
"12/03/2024","3,027.30","3,041.70","3,041.70","2,987.65","2.31M","0.36%"
"12/02/2024","3,016.40","2,984.00","3,026.25","2,961.90","2.32M","1.70%"
"11/29/2024","2,966.10","2,903.00","2,991.65","2,903.00","3.54M","2.33%"
"11/28/2024","2,898.70","2,995.00","2,999.95","2,892.00","4.46M","-3.53%"
"11/27/2024","3,004.80","3,025.95","3,070.00","2,986.05","3.59M","0.66%"
"11/26/2024","2,985.20","3,053.50","3,068.10","2,952.50","2.14M","-1.98%"
"11/25/2024","3,045.60","3,075.00","3,149.65","3,022.40","6.30M","1.08%"
"11/22/2024","3,012.95","2,944.00","3,063.50","2,896.70","4.83M","2.61%"
"11/21/2024","2,936.25","2,962.50","2,974.00","2,918.00","3.82M","-0.43%"
"11/19/2024","2,948.95","2,845.00","2,998.00","2,845.00","5.23M","3.58%"
"11/18/2024","2,846.90","2,844.00","2,874.70","2,800.05","2.41M","1.41%"
"11/14/2024","2,807.20","2,815.00","2,842.40","2,736.25","2.48M","0.29%"
"11/13/2024","2,798.95","2,876.00","2,895.00","2,782.90","3.95M","-3.44%"
"11/12/2024","2,898.55","2,931.20","2,945.90","2,880.00","2.41M","-1.09%"
"11/11/2024","2,930.60","2,962.35","3,009.60","2,889.05","2.63M","-1.49%"
"11/08/2024","2,974.90","2,910.00","2,990.95","2,851.25","4.46M","2.89%"
"11/07/2024","2,891.35","2,971.75","2,972.55","2,857.95","4.25M","-1.47%"
"11/06/2024","2,934.55","2,910.00","2,953.80","2,885.40","2.90M","1.21%"
"11/05/2024","2,899.45","2,875.50","2,908.00","2,822.10","3.56M","0.54%"
"11/04/2024","2,883.95","2,804.50","2,971.75","2,804.50","7.56M","2.35%"
"11/01/2024","2,817.65","2,780.00","2,840.90","2,780.00","1.06M","3.27%"
"10/31/2024","2,728.55","2,707.70","2,752.00","2,671.60","3.83M","0.77%"
"10/30/2024","2,707.70","2,689.25","2,755.85","2,669.05","5.68M","-1.43%"
"10/29/2024","2,746.90","2,762.00","2,797.95","2,702.55","3.16M","-1.23%"
"10/28/2024","2,781.00","2,730.00","2,834.90","2,713.90","2.81M","2.21%"
"10/25/2024","2,720.85","2,825.00","2,825.05","2,679.30","4.53M","-3.73%"
"10/24/2024","2,826.35","2,763.00","2,842.20","2,763.00","3.99M","1.18%"
"10/23/2024","2,793.50","2,876.15","2,924.90","2,781.25","7.91M","-3.25%"
"10/22/2024","2,887.20","3,005.00","3,008.95","2,878.20","4.20M","-3.70%"
"10/21/2024","2,998.20","2,959.75","3,001.40","2,892.90","5.06M","1.15%"
"10/18/2024","2,964.25","2,945.35","2,988.85","2,914.70","3.41M","-0.01%"
"10/17/2024","2,964.60","3,055.00","3,065.30","2,952.20","3.62M","-3.37%"
"10/16/2024","3,068.00","3,138.00","3,147.90","3,052.15","1.97M","-2.78%"
"10/15/2024","3,155.80","3,177.00","3,192.95","3,086.55","2.25M","0.03%"
"10/14/2024","3,154.90","3,151.00","3,174.00","3,115.00","2.43M","0.66%"
"10/11/2024","3,134.35","3,200.00","3,210.50","3,121.00","1.65M","-1.88%"
"10/10/2024","3,194.30","3,156.00","3,220.30","3,155.00","2.51M","1.31%"
"10/09/2024","3,153.00","3,164.80","3,204.30","3,145.00","2.43M","-0.41%"
"10/08/2024","3,165.85","3,074.00","3,176.90","3,066.00","6.06M","3.45%"
"10/07/2024","3,060.20","3,028.00","3,066.95","2,982.90","2.73M","1.42%"
"10/04/2024","3,017.45","3,127.05","3,157.60","3,009.50","4.28M","-3.59%"
"10/03/2024","3,129.85","3,085.00","3,171.00","3,072.45","3.24M","-1.13%"
"10/01/2024","3,165.50","3,105.50","3,185.45","3,095.80","4.03M","2.28%"
"09/30/2024","3,094.90","3,163.15","3,179.00","3,087.00","3.55M","-2.79%"
"09/27/2024","3,183.65","3,171.00","3,222.10","3,152.55","6.80M","0.08%"
"09/26/2024","3,181.10","3,072.00","3,197.20","3,045.65","4.75M","2.91%"
"09/25/2024","3,091.05","3,045.00","3,149.00","3,034.55","4.22M","0.54%"
"09/24/2024","3,074.30","3,020.00","3,098.55","3,020.00","3.70M","0.80%"
"09/23/2024","3,049.80","2,962.75","3,056.90","2,956.15","3.93M","3.35%"
"09/20/2024","2,950.85","2,798.70","2,960.00","2,798.50","12.49M","5.48%"
"09/19/2024","2,797.50","2,812.00","2,852.00","2,792.20","2.81M","-0.38%"
"09/18/2024","2,808.20","2,781.50","2,848.00","2,777.65","2.53M","0.74%"
"09/17/2024","2,787.65","2,765.00","2,793.50","2,745.30","1.39M","1.10%"
"09/16/2024","2,757.40","2,740.20","2,784.30","2,732.05","1.23M","0.67%"
"09/13/2024","2,739.10","2,755.00","2,758.55","2,711.75","2.10M","-0.07%"
"09/12/2024","2,740.90","2,665.00","2,751.60","2,635.60","3.73M","3.26%"
"09/11/2024","2,654.25","2,681.50","2,708.00","2,644.10","2.03M","-1.33%"
"09/10/2024","2,690.00","2,691.25","2,715.00","2,677.00","2.03M","-0.70%"
"09/09/2024","2,708.85","2,688.15","2,714.30","2,660.05","1.27M","0.40%"
"09/06/2024","2,698.10","2,723.00","2,738.90","2,680.10","2.84M","-0.92%"
"09/05/2024","2,723.10","2,756.20","2,760.00","2,711.90","2.36M","-0.96%"
"09/04/2024","2,749.60","2,761.00","2,779.90","2,731.10","1.70M","-1.27%"
"09/03/2024","2,784.85","2,780.00","2,798.10","2,772.60","1.59M","0.28%"
"09/02/2024","2,777.00","2,848.80","2,848.80","2,756.50","2.27M","-1.01%"
"08/30/2024","2,805.40","2,780.00","2,821.55","2,765.00","4.90M","1.73%"
"08/29/2024","2,757.60","2,789.35","2,801.65","2,741.65","2.24M","-1.44%"
"08/28/2024","2,798.00","2,781.90","2,827.00","2,780.80","1.85M","0.62%"
"08/27/2024","2,780.80","2,797.95","2,800.00","2,773.95","1.60M","-0.44%"
"08/26/2024","2,793.10","2,764.95","2,799.00","2,753.10","2.77M","1.24%"
"08/23/2024","2,759.00","2,732.95","2,769.00","2,725.30","1.94M","0.95%"
"08/22/2024","2,732.95","2,771.10","2,775.75","2,724.05","2.35M","-1.32%"
"08/21/2024","2,769.40","2,774.00","2,780.95","2,755.00","1.50M","-0.07%"
"08/20/2024","2,771.30","2,779.75","2,783.20","2,748.50","1.76M","0.22%"
"08/19/2024","2,765.15","2,859.90","2,859.90","2,760.00","2.50M","-2.65%"
"08/16/2024","2,840.45","2,789.00","2,845.05","2,776.15","4.38M","3.47%"
"08/14/2024","2,745.25","2,728.80","2,771.95","2,715.30","2.61M","1.00%"
"08/13/2024","2,718.05","2,718.10","2,738.65","2,704.10","1.29M","0.01%"
"08/12/2024","2,717.65","2,749.15","2,757.00","2,708.70","2.32M","-1.15%"
"08/09/2024","2,749.15","2,734.00","2,765.00","2,705.00","2.28M","2.47%"
"08/08/2024","2,682.95","2,660.50","2,716.50","2,656.50","2.67M","0.08%"
"08/07/2024","2,680.85","2,697.50","2,704.75","2,661.00","2.48M","1.82%"
