"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","12,422.95","12,650.00","12,650.00","12,380.05","226.79K","-2.07%"
"02/19/2025","12,686.15","12,727.00","12,769.15","12,651.00","288.69K","-0.78%"
"02/18/2025","12,786.20","12,764.95","12,884.95","12,735.15","267.94K","0.18%"
"02/17/2025","12,762.90","12,601.60","12,774.00","12,578.10","192.21K","0.65%"
"02/14/2025","12,680.25","12,700.00","12,780.00","12,584.10","233.45K","0.07%"
"02/13/2025","12,671.30","12,675.00","12,744.95","12,614.75","186.74K","0.12%"
"02/12/2025","12,655.55","12,700.00","12,765.35","12,608.05","425.74K","-0.54%"
"02/11/2025","12,724.35","12,899.95","13,017.25","12,699.45","354.20K","-1.37%"
"02/10/2025","12,900.75","13,050.00","13,060.00","12,886.65","294.14K","-1.14%"
"02/07/2025","13,049.50","13,060.00","13,108.50","13,012.00","355.22K","-0.19%"
"02/06/2025","13,074.00","13,060.00","13,130.00","13,006.80","414.13K","-0.10%"
"02/05/2025","13,086.80","13,110.00","13,150.00","13,003.50","271.63K","-0.18%"
"02/04/2025","13,109.95","13,250.00","13,259.95","12,971.50","530.75K","-0.23%"
"02/03/2025","13,139.95","12,990.00","13,461.20","12,921.65","926.13K","1.73%"
"02/01/2025","12,916.50","12,320.00","13,150.00","12,228.65","1.10M","4.92%"
"01/31/2025","12,310.65","12,000.00","12,390.00","12,000.00","709.01K","2.59%"
"01/30/2025","12,000.00","12,021.00","12,110.85","11,923.10","418.44K","0.18%"
"01/29/2025","11,977.90","12,120.00","12,320.70","11,885.05","817.55K","-1.20%"
"01/28/2025","12,123.75","12,018.35","12,164.70","11,884.95","533.45K","1.08%"
"01/27/2025","11,993.85","11,901.90","12,046.90","11,811.05","251.78K","0.22%"
"01/24/2025","11,967.90","11,930.00","12,093.00","11,914.10","310.34K","-0.65%"
"01/23/2025","12,045.75","12,005.00","12,106.30","11,961.30","480.88K","0.21%"
"01/22/2025","12,020.35","11,900.05","12,078.85","11,900.05","396.59K","1.15%"
"01/21/2025","11,883.70","12,017.05","12,139.80","11,862.05","300.04K","-1.13%"
"01/20/2025","12,020.05","12,147.05","12,147.05","11,984.05","251.73K","-0.96%"
