"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","325.05","312.55","326.10","311.65","15.66M","3.26%"
"02/19/2025","314.80","311.20","316.35","310.60","13.08M","1.16%"
"02/18/2025","311.20","301.15","312.40","297.50","15.79M","2.93%"
"02/17/2025","302.35","297.50","303.20","292.80","6.46M","0.67%"
"02/14/2025","300.35","306.85","308.25","298.35","7.45M","-2.07%"
"02/13/2025","306.70","306.15","308.60","303.10","9.09M","0.15%"
"02/12/2025","306.25","306.20","307.50","300.00","7.62M","0.21%"
"02/11/2025","305.60","312.35","312.35","304.15","13.24M","-1.58%"
"02/10/2025","310.50","316.50","316.85","309.00","6.81M","-2.04%"
"02/07/2025","316.95","313.50","319.25","312.10","8.94M","1.33%"
"02/06/2025","312.80","322.60","322.70","311.40","13.38M","-2.13%"
"02/05/2025","319.60","321.00","323.05","318.40","12.23M","0.16%"
"02/04/2025","319.10","314.85","320.45","310.30","12.14M","2.52%"
"02/03/2025","311.25","310.10","314.05","304.00","15.88M","-2.03%"
"02/01/2025","317.70","326.05","330.80","316.75","10.10M","-1.94%"
"01/31/2025","324.00","322.45","326.25","317.55","13.20M","0.31%"
"01/30/2025","323.00","322.25","326.80","321.15","10.38M","0.54%"
"01/29/2025","321.25","320.00","322.90","313.30","16.06M","0.94%"
"01/28/2025","318.25","322.50","323.85","308.15","22.01M","-1.23%"
"01/27/2025","322.20","323.65","325.05","315.00","13.80M","-0.45%"
"01/24/2025","323.65","324.80","329.90","322.10","7.49M","0.00%"
"01/23/2025","323.65","321.00","325.10","319.55","6.48M","0.39%"
"01/22/2025","322.40","327.00","327.00","317.35","11.07M","-0.59%"
"01/21/2025","324.30","337.80","338.25","323.80","12.77M","-3.50%"
"01/20/2025","336.05","326.20","337.00","324.55","17.99M","3.04%"
"01/17/2025","326.15","325.30","329.00","323.35","7.13M","0.20%"
"01/16/2025","325.50","324.70","327.30","321.65","14.87M","1.29%"
"01/15/2025","321.35","312.55","324.30","312.55","21.89M","3.53%"
"01/14/2025","310.40","300.45","312.70","300.20","22.73M","4.09%"
"01/13/2025","298.20","301.10","309.95","296.85","29.63M","-3.26%"
"01/10/2025","308.25","320.35","321.00","307.60","15.94M","-3.78%"
"01/09/2025","320.35","324.05","325.95","319.80","12.40M","-1.55%"
"01/08/2025","325.40","330.50","330.50","321.85","8.99M","-0.97%"
"01/07/2025","328.60","327.00","330.35","325.10","13.89M","0.34%"
"01/06/2025","327.50","341.70","341.70","326.45","10.54M","-3.63%"
"01/03/2025","339.85","338.05","344.50","337.05","8.69M","0.55%"
"01/02/2025","338.00","333.65","338.60","330.00","16.54M","1.30%"
"01/01/2025","333.65","333.00","334.65","328.80","7.84M","0.09%"
"12/31/2024","333.35","330.10","334.60","326.20","8.58M","0.59%"
"12/30/2024","331.40","335.00","336.80","327.40","36.66M","-1.07%"
"12/27/2024","335.00","336.65","340.00","334.20","9.09M","0.10%"
"12/26/2024","334.65","335.30","337.40","332.25","9.03M","-0.19%"
"12/24/2024","335.30","335.10","336.85","331.75","7.76M","0.49%"
"12/23/2024","333.65","335.90","338.25","330.50","8.88M","0.12%"
"12/20/2024","333.25","337.80","343.90","331.00","20.38M","-1.23%"
"12/19/2024","337.40","337.00","340.60","335.05","14.51M","-1.27%"
"12/18/2024","341.75","349.55","351.00","340.00","14.67M","-2.09%"
"12/17/2024","349.05","352.00","353.85","347.25","15.65M","-1.09%"
"12/16/2024","352.90","357.15","358.90","351.70","12.17M","-1.19%"
"12/13/2024","357.15","355.75","358.30","348.05","14.27M","0.44%"
