"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","2,210.30","2,204.95","2,210.95","2,188.60","262.26K","0.24%"
"02/19/2025","2,204.95","2,206.00","2,224.00","2,197.55","426.48K","-0.79%"
"02/18/2025","2,222.40","2,216.50","2,229.50","2,199.95","453.06K","0.27%"
"02/17/2025","2,216.50","2,195.85","2,220.00","2,170.00","801.52K","0.94%"
"02/14/2025","2,195.85","2,177.55","2,225.00","2,170.05","960.86K","0.84%"
"02/13/2025","2,177.55","2,193.75","2,210.20","2,172.65","511.15K","-0.74%"
"02/12/2025","2,193.75","2,214.00","2,214.00","2,171.70","503.26K","-0.08%"
"02/11/2025","2,195.50","2,221.05","2,232.10","2,177.95","476.84K","-1.15%"
"02/10/2025","2,221.05","2,235.00","2,252.50","2,206.20","760.18K","-0.18%"
"02/07/2025","2,225.10","2,234.00","2,238.00","2,207.55","792.56K","-0.64%"
"02/06/2025","2,239.45","2,269.00","2,269.00","2,227.00","986.96K","-0.42%"
"02/05/2025","2,248.95","2,283.80","2,297.90","2,225.25","1.48M","-2.20%"
"02/04/2025","2,299.45","2,322.40","2,322.80","2,283.70","1.24M","-0.76%"
"02/03/2025","2,317.10","2,327.20","2,374.00","2,311.70","1.14M","-0.43%"
"02/01/2025","2,327.20","2,313.00","2,374.00","2,257.25","1.25M","0.61%"
"01/31/2025","2,313.20","2,217.35","2,387.00","2,209.50","3.14M","4.32%"
"01/30/2025","2,217.35","2,189.00","2,232.70","2,180.70","574.56K","1.68%"
"01/29/2025","2,180.70","2,156.30","2,184.90","2,131.25","397.15K","1.13%"
"01/28/2025","2,156.30","2,174.75","2,181.85","2,142.60","721.03K","-0.85%"
"01/27/2025","2,174.75","2,182.05","2,231.90","2,168.60","549.99K","-1.50%"
"01/24/2025","2,207.90","2,202.00","2,222.75","2,190.10","663.60K","0.41%"
"01/23/2025","2,198.95","2,194.15","2,209.60","2,165.00","496.01K","-0.40%"
"01/22/2025","2,207.80","2,196.45","2,212.95","2,194.15","448.04K","0.52%"
"01/21/2025","2,196.45","2,225.00","2,240.00","2,191.55","764.41K","-0.79%"
"01/20/2025","2,214.00","2,219.20","2,225.00","2,202.35","401.11K","-0.14%"
