"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","241.30","236.80","241.50","236.80","4.58M","1.26%"
"02/19/2025","238.30","236.00","238.80","234.50","6.17M","0.72%"
"02/18/2025","236.60","232.20","237.15","229.55","6.17M","1.26%"
"02/17/2025","233.65","230.20","234.30","225.05","6.69M","1.37%"
"02/14/2025","230.50","235.00","237.95","226.75","8.07M","-1.89%"
"02/13/2025","234.95","238.50","239.45","234.20","10.08M","-1.03%"
"02/12/2025","237.40","239.00","241.25","234.15","5.99M","-0.65%"
"02/11/2025","238.95","242.45","242.45","236.80","6.71M","-1.44%"
"02/10/2025","242.45","248.95","249.60","241.80","7.58M","-2.59%"
"02/07/2025","248.90","252.95","253.85","247.50","10.10M","-2.83%"
"02/06/2025","256.15","262.65","262.95","254.30","12.33M","-2.10%"
"02/05/2025","261.65","259.00","263.00","257.75","11.59M","2.97%"
"02/04/2025","254.10","252.40","257.50","252.00","8.40M","2.05%"
"02/03/2025","249.00","255.60","256.35","244.85","25.72M","-3.32%"
"02/01/2025","257.55","259.55","262.50","253.75","10.92M","-1.93%"
"01/31/2025","262.61","257.01","263.49","255.21","8.85M","2.29%"
"01/30/2025","256.72","252.00","259.40","250.94","12.59M","2.12%"
"01/29/2025","251.40","248.90","252.00","247.00","5.65M","1.09%"
"01/28/2025","248.68","250.00","252.40","246.71","8.03M","-0.84%"
"01/27/2025","250.78","255.00","256.44","249.51","6.94M","-2.23%"
"01/24/2025","256.51","262.99","265.64","255.75","6.31M","-2.49%"
"01/23/2025","263.05","263.00","263.83","261.17","5.03M","-0.38%"
"01/22/2025","264.05","266.00","266.39","261.71","7.92M","-0.66%"
"01/21/2025","265.80","268.05","269.35","264.81","8.99M","-1.32%"
"01/20/2025","269.36","268.10","270.47","265.01","9.68M","1.05%"
