"Date","Price","Open","High","Low","Change %"
"11/01/2024","99.428","99.428","99.428","99.428","-0.09%"
"10/31/2024","99.515","99.515","99.515","99.515","0.01%"
"10/30/2024","99.501","99.501","99.501","99.501","0.00%"
"10/29/2024","99.502","99.502","99.502","99.502","0.04%"
"10/28/2024","99.462","99.462","99.462","99.462","-0.02%"
"10/25/2024","99.480","99.480","99.480","99.480","-0.06%"
"10/24/2024","99.541","99.541","99.541","99.541","-0.07%"
"10/23/2024","99.610","99.610","99.610","99.610","0.03%"
"10/22/2024","99.584","99.584","99.584","99.584","-0.03%"
"10/21/2024","99.612","99.612","99.612","99.612","-0.08%"
"10/18/2024","99.692","99.692","99.692","99.692","-0.04%"
"10/17/2024","99.732","99.732","99.732","99.732","-0.01%"
"10/16/2024","99.743","99.743","99.743","99.743","-0.13%"
"10/15/2024","99.876","99.876","99.876","99.876","0.01%"
"10/14/2024","99.870","99.870","99.870","99.870","0.03%"
"10/11/2024","99.841","99.841","99.841","99.841","-0.01%"
"10/10/2024","99.855","99.855","99.855","99.855","0.01%"
"10/09/2024","99.848","99.848","99.848","99.848","0.09%"
"10/08/2024","99.760","99.760","99.760","99.760","0.06%"
"10/07/2024","99.700","99.700","99.700","99.700","-0.04%"
"10/04/2024","99.744","99.744","99.744","99.744","-0.03%"
"10/03/2024","99.772","99.772","99.772","99.772","-0.09%"
"10/01/2024","99.862","99.862","99.862","99.862","0.03%"
"09/30/2024","99.837","99.837","99.837","99.837","0.06%"
"09/27/2024","99.782","99.782","99.782","99.782","-0.04%"
"09/26/2024","99.819","99.819","99.819","99.819","0.03%"
"09/25/2024","99.791","99.791","99.791","99.791","0.01%"
"09/24/2024","99.781","99.781","99.781","99.781","0.01%"
"09/23/2024","99.776","99.776","99.776","99.776","0.01%"
"09/20/2024","99.767","99.767","99.767","99.767","-0.01%"
"09/19/2024","99.777","99.777","99.777","99.777","0.03%"
"09/18/2024","99.746","99.746","99.746","99.746","-0.02%"
"09/17/2024","99.770","99.770","99.770","99.770","0.01%"
"09/16/2024","99.764","99.764","99.764","99.764","0.03%"
"09/13/2024","99.734","99.734","99.734","99.734","0.02%"
"09/12/2024","99.711","99.711","99.711","99.711","0.01%"
"09/11/2024","99.706","99.706","99.706","99.706","0.04%"
"09/10/2024","99.668","99.668","99.668","99.668","0.02%"
"09/09/2024","99.644","99.644","99.644","99.644","-0.03%"
"09/06/2024","99.673","99.673","99.673","99.673","0.38%"
"09/05/2024","99.293","99.293","99.293","99.293","0.00%"
"09/04/2024","99.289","99.289","99.289","99.289","0.03%"
"09/03/2024","99.258","99.258","99.258","99.258","-0.37%"
"09/02/2024","99.631","99.631","99.631","99.631","0.00%"
"08/30/2024","99.627","99.627","99.627","99.627","-0.03%"
"08/29/2024","99.658","99.658","99.658","99.658","0.03%"
"08/28/2024","99.632","99.632","99.632","99.632","0.00%"
"08/27/2024","99.628","99.628","99.628","99.628","0.01%"
"08/26/2024","99.623","99.623","99.623","99.623","0.00%"
"08/23/2024","99.619","99.619","99.619","99.619","0.37%"
"08/22/2024","99.250","99.250","99.250","99.250","0.01%"
"08/21/2024","99.245","99.245","99.245","99.245","0.03%"
"08/20/2024","99.213","99.213","99.213","99.213","-0.06%"
