"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","1,234.90","1,223.95","1,239.25","1,223.65","3.45M","0.61%"
"02/19/2025","1,227.45","1,219.50","1,232.75","1,217.55","6.22M","0.17%"
"02/18/2025","1,225.40","1,224.85","1,229.90","1,216.10","6.67M","0.04%"
"02/17/2025","1,224.90","1,211.10","1,227.50","1,204.50","8.17M","0.63%"
"02/14/2025","1,217.25","1,219.00","1,224.00","1,205.45","10.30M","0.09%"
"02/13/2025","1,216.10","1,217.05","1,228.00","1,212.00","8.51M","-0.04%"
"02/12/2025","1,216.55","1,219.45","1,226.90","1,193.35","21.13M","-1.48%"
"02/11/2025","1,234.85","1,264.55","1,264.55","1,230.10","8.86M","-1.50%"
"02/10/2025","1,253.65","1,264.50","1,266.50","1,245.55","6.97M","-1.03%"
"02/07/2025","1,266.70","1,276.15","1,283.70","1,262.00","8.76M","-1.16%"
"02/06/2025","1,281.55","1,273.70","1,288.00","1,270.35","9.96M","0.26%"
"02/05/2025","1,278.20","1,282.65","1,290.50","1,276.70","10.11M","-0.54%"
"02/04/2025","1,285.20","1,248.05","1,288.80","1,246.60","16.69M","3.15%"
"02/03/2025","1,245.90","1,251.00","1,256.00","1,237.55","9.25M","-1.48%"
"02/01/2025","1,264.60","1,265.10","1,270.55","1,241.00","7.12M","-0.04%"
"01/31/2025","1,265.10","1,255.85","1,267.00","1,249.00","6.58M","0.96%"
"01/30/2025","1,253.05","1,235.55","1,257.00","1,232.40","9.27M","1.42%"
"01/29/2025","1,235.50","1,236.00","1,242.75","1,228.05","5.93M","0.09%"
"01/28/2025","1,234.40","1,238.00","1,244.75","1,218.50","10.57M","0.41%"
"01/27/2025","1,229.35","1,239.10","1,240.45","1,220.00","9.54M","-1.36%"
"01/24/2025","1,246.30","1,266.00","1,273.00","1,243.50","14.24M","-1.37%"
"01/23/2025","1,263.65","1,270.00","1,277.35","1,261.60","8.72M","-1.05%"
"01/22/2025","1,277.10","1,278.30","1,282.90","1,268.70","10.27M","0.27%"
"01/21/2025","1,273.70","1,310.50","1,313.00","1,270.20","14.56M","-2.43%"
"01/20/2025","1,305.45","1,316.00","1,316.00","1,300.25","14.04M","0.24%"
