"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","729.40","724.90","731.50","724.35","3.75M","0.29%"
"02/19/2025","727.30","722.05","734.85","722.05","6.77M","0.21%"
"02/18/2025","725.80","727.70","728.25","717.35","8.56M","-0.26%"
"02/17/2025","727.70","719.05","728.75","711.55","9.09M","0.77%"
"02/14/2025","722.15","730.95","732.90","716.20","10.42M","-0.76%"
"02/13/2025","727.65","734.40","737.50","726.15","12.37M","-0.75%"
"02/12/2025","733.15","733.15","738.70","717.15","12.70M","0.28%"
"02/11/2025","731.10","737.45","740.15","726.55","13.02M","-0.77%"
"02/10/2025","736.80","740.00","743.90","733.40","12.67M","-0.05%"
"02/07/2025","737.20","759.80","759.90","731.75","37.24M","-2.00%"
"02/06/2025","752.25","769.00","770.85","750.05","32.75M","-1.80%"
"02/05/2025","766.05","780.00","782.00","765.00","13.42M","-1.69%"
"02/04/2025","779.20","767.00","781.25","765.65","12.02M","2.40%"
"02/03/2025","760.95","762.80","762.80","753.15","7.86M","-0.66%"
"02/01/2025","766.00","774.80","778.75","752.15","9.36M","-0.89%"
"01/31/2025","772.90","764.90","777.55","759.50","10.08M","1.35%"
"01/30/2025","762.60","758.55","765.00","754.75","11.09M","0.55%"
"01/29/2025","758.45","753.00","760.80","749.80","9.25M","0.80%"
"01/28/2025","752.40","757.00","759.75","745.40","14.14M","0.43%"
"01/27/2025","749.20","740.00","755.35","735.90","11.43M","0.68%"
"01/24/2025","744.15","749.90","753.70","739.00","10.58M","-0.23%"
"01/23/2025","745.90","750.00","755.65","743.10","10.99M","-1.00%"
"01/22/2025","753.45","762.00","763.00","738.00","9.91M","-0.74%"
"01/21/2025","759.05","784.80","784.90","756.05","13.75M","-2.59%"
"01/20/2025","779.25","769.00","785.00","767.85","9.20M","1.98%"
"01/17/2025","764.10","766.30","767.95","759.40","5.77M","-0.29%"
"01/16/2025","766.30","760.40","776.70","760.40","11.82M","1.67%"
"01/15/2025","753.70","753.15","758.90","750.00","7.79M","0.74%"
"01/14/2025","748.15","732.95","757.00","732.95","11.96M","2.56%"
"01/13/2025","729.50","741.50","743.95","722.50","10.41M","-1.85%"
"01/10/2025","743.25","760.35","763.40","742.05","11.78M","-2.26%"
"01/09/2025","760.45","771.15","771.35","726.25","15.35M","-1.39%"
"01/08/2025","771.15","780.90","783.95","760.10","15.64M","-0.98%"
