"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 20, 2025","576.35","557.50","577.00","557.55","5.55M","3.48%"
"Feb 19, 2025","556.95","548.00","559.85","548.00","4.44M","0.68%"
"Feb 18, 2025","553.20","552.85","555.70","539.30","3.76M","0.15%"
"Feb 17, 2025","552.35","537.00","554.00","526.00","5.73M","2.37%"
"Feb 14, 2025","539.55","551.30","555.85","527.65","5.62M","-1.81%"
"Feb 13, 2025","549.50","548.60","562.45","540.10","5.58M","0.21%"
"Feb 12, 2025","548.35","537.35","552.50","527.85","6.71M","1.75%"
"Feb 11, 2025","538.90","565.30","565.60","534.00","6.15M","-4.04%"
"Feb 10, 2025","561.60","560.00","567.30","547.25","5.15M","0.04%"
"Feb 07, 2025","561.40","573.00","581.40","556.55","9.67M","-1.33%"
"Feb 06, 2025","568.95","571.40","572.80","556.90","7.44M","-0.85%"
"Feb 05, 2025","573.85","576.85","592.15","572.25","8.85M","-0.76%"
"Feb 04, 2025","578.25","556.10","581.25","546.75","17.34M","5.38%"
"Feb 03, 2025","548.75","525.00","553.90","517.35","15.08M","2.90%"
"Feb 01, 2025","533.30","547.40","550.45","517.60","6.43M","-2.45%"
"Jan 31, 2025","546.70","543.35","552.60","538.60","5.76M","1.56%"
"Jan 30, 2025","538.30","553.25","558.55","536.45","4.47M","-2.59%"
"Jan 29, 2025","552.60","533.65","554.40","529.55","10.72M","4.36%"
"Jan 28, 2025","529.50","518.15","541.50","508.10","21.94M","3.57%"
"Jan 27, 2025","511.25","525.00","529.95","507.50","19.13M","-3.10%"
"Jan 24, 2025","527.60","532.65","542.35","509.20","18.55M","-0.61%"
"Jan 23, 2025","530.85","521.60","533.25","513.10","6.63M","1.97%"
"Jan 22, 2025","520.60","521.70","527.20","512.95","6.15M","-0.01%"
"Jan 21, 2025","520.65","520.15","531.85","513.70","7.79M","0.42%"
"Jan 20, 2025","518.45","524.95","524.95","495.15","13.10M","-1.75%"
"Jan 17, 2025","527.70","547.60","548.10","525.70","6.75M","-3.63%"
"Jan 16, 2025","547.60","540.00","555.00","536.60","8.14M","2.23%"
"Jan 15, 2025","535.65","545.30","545.30","530.30","6.49M","-1.92%"
"Jan 14, 2025","546.15","529.70","548.80","520.45","6.96M","4.38%"
"Jan 13, 2025","523.25","535.40","543.00","521.00","9.37M","-1.93%"
"Jan 10, 2025","533.55","565.10","566.80","530.00","10.81M","-81.10%"
"Jan 09, 2025","2,822.45","2,905.35","2,929.95","2,814.30","1.43M","-2.84%"
"Jan 08, 2025","2,905.00","2,965.00","2,969.75","2,848.05","1.19M","-2.03%"
"Jan 07, 2025","2,965.30","2,989.75","3,030.80","2,960.15","701.70K","-0.42%"
"Jan 06, 2025","2,977.80","3,023.45","3,092.00","2,962.90","1.39M","-2.78%"
"Jan 03, 2025","3,062.85","3,052.55","3,112.25","3,051.50","1.05M","-0.27%"
"Jan 02, 2025","3,071.05","2,944.10","3,080.70","2,944.05","2.23M","4.66%"
"Jan 01, 2025","2,934.40","2,914.90","2,943.90","2,897.15","513.15K","0.80%"
"Dec 31, 2024","2,911.25","2,901.50","2,928.35","2,898.15","864.15K","-0.77%"
"Dec 30, 2024","2,933.90","2,906.35","2,990.85","2,906.35","821.40K","0.51%"
"Dec 27, 2024","2,919.00","2,945.70","2,961.85","2,913.00","463.35K","-0.27%"
"Dec 26, 2024","2,926.95","2,907.70","2,933.90","2,873.75","1.33M","1.45%"
"Dec 24, 2024","2,885.00","2,882.85","2,899.00","2,855.80","1.69M","0.19%"
"Dec 23, 2024","2,879.55","2,905.95","2,949.55","2,872.75","2.49M","-0.05%"
"Dec 20, 2024","2,880.90","2,960.25","2,966.80","2,856.15","2.35M","-2.26%"
"Dec 19, 2024","2,947.40","2,901.50","2,954.85","2,861.00","1.91M","0.42%"
"Dec 18, 2024","2,935.00","3,000.00","3,036.10","2,917.55","1.60M","-1.73%"
"Dec 17, 2024","2,986.80","3,135.95","3,135.95","2,971.85","2.13M","-4.88%"
"Dec 16, 2024","3,139.90","3,187.25","3,199.95","3,131.85","793.65K","-1.10%"
"Dec 13, 2024","3,174.90","3,224.15","3,254.30","3,120.10","1.74M","-2.40%"
"Dec 12, 2024","3,253.10","3,244.05","3,267.45","3,226.40","922.20K","0.05%"
"Dec 11, 2024","3,251.50","3,200.00","3,271.70","3,186.25","1.23M","1.84%"
"Dec 10, 2024","3,192.75","3,115.25","3,198.45","3,111.45","1.28M","2.67%"
"Dec 09, 2024","3,109.65","3,128.75","3,166.80","3,101.90","738.60K","-0.75%"
"Dec 06, 2024","3,133.00","3,136.80","3,161.30","3,098.80","769.35K","-0.12%"
"Dec 05, 2024","3,136.85","3,142.95","3,163.95","3,084.00","1.56M","-0.07%"
"Dec 04, 2024","3,139.10","3,161.25","3,178.10","3,126.85","972.00K","-0.75%"
"Dec 03, 2024","3,162.90","3,124.95","3,216.45","3,124.95","1.78M","1.60%"
"Dec 02, 2024","3,113.20","3,028.15","3,125.30","3,026.20","1.18M","2.50%"
"Nov 29, 2024","3,037.20","3,050.10","3,075.25","3,009.00","901.95K","-0.21%"
"Nov 28, 2024","3,043.70","3,022.95","3,069.95","2,985.70","1.18M","0.85%"
"Nov 27, 2024","3,018.15","3,025.40","3,062.40","3,006.35","2.62M","-0.71%"
"Nov 26, 2024","3,039.80","2,985.50","3,073.95","2,896.55","4.22M","3.01%"
"Nov 25, 2024","2,951.05","2,931.10","3,013.35","2,929.80","4.32M","3.71%"
"Nov 22, 2024","2,845.40","2,757.40","2,863.90","2,751.70","1.80M","1.59%"
"Nov 21, 2024","2,800.90","2,842.10","2,842.10","2,767.95","1.37M","-0.95%"
"Nov 19, 2024","2,827.65","2,792.45","2,873.85","2,792.45","1.79M","-0.72%"
"Nov 18, 2024","2,848.05","2,840.00","2,884.10","2,745.05","1.18M","0.70%"
"Nov 14, 2024","2,828.25","2,856.00","2,869.40","2,792.05","1.89M","-1.27%"
"Nov 13, 2024","2,864.60","2,923.55","2,935.00","2,847.60","1.56M","-2.58%"
"Nov 12, 2024","2,940.40","3,020.90","3,033.00","2,933.05","1.33M","-2.40%"
"Nov 11, 2024","3,012.60","3,012.95","3,069.60","2,969.05","1.16M","-0.21%"
"Nov 08, 2024","3,018.95","3,108.85","3,108.85","3,007.60","1.10M","-2.16%"
"Nov 07, 2024","3,085.50","3,159.00","3,197.20","3,067.20","1.36M","-2.78%"
"Nov 06, 2024","3,173.75","3,192.00","3,195.35","3,124.00","1.09M","0.65%"
"Nov 05, 2024","3,153.25","3,131.35","3,172.60","3,042.65","2.59M","0.55%"
