"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","1,672.00","1,667.15","1,677.90","1,664.15","803.14K","-0.27%"
"02/19/2025","1,676.60","1,665.10","1,699.00","1,647.10","2.58M","-1.47%"
"02/18/2025","1,701.60","1,714.20","1,729.75","1,698.40","2.16M","-0.74%"
"02/17/2025","1,714.20","1,700.50","1,735.35","1,696.05","2.28M","0.81%"
"02/14/2025","1,700.50","1,747.35","1,748.95","1,685.00","2.12M","-2.63%"
"02/13/2025","1,746.35","1,700.00","1,752.75","1,699.95","2.75M","3.10%"
"02/12/2025","1,693.85","1,706.45","1,714.95","1,688.05","1.76M","-0.35%"
"02/11/2025","1,699.75","1,725.20","1,734.20","1,695.05","2.78M","-1.87%"
"02/10/2025","1,732.10","1,741.25","1,750.00","1,723.70","1.24M","-1.01%"
"02/07/2025","1,749.80","1,751.40","1,753.00","1,727.30","1.37M","0.45%"
"02/06/2025","1,742.00","1,753.00","1,768.35","1,736.30","3.42M","-0.61%"
"02/05/2025","1,752.75","1,773.80","1,773.80","1,735.20","1.79M","-0.71%"
"02/04/2025","1,765.25","1,749.30","1,776.25","1,740.65","2.80M","1.42%"
"02/03/2025","1,740.60","1,781.45","1,785.90","1,710.55","2.21M","-0.09%"
"02/01/2025","1,742.20","1,740.00","1,789.00","1,733.30","1.48M","-0.10%"
"01/31/2025","1,743.95","1,742.00","1,769.85","1,706.05","4.28M","0.28%"
"01/30/2025","1,739.10","1,740.45","1,760.30","1,725.30","2.02M","0.22%"
"01/29/2025","1,735.35","1,705.50","1,744.00","1,696.00","1.43M","1.75%"
"01/28/2025","1,705.50","1,779.80","1,780.00","1,693.10","5.97M","-4.55%"
"01/27/2025","1,786.85","1,818.10","1,824.25","1,774.30","1.45M","-1.94%"
"01/24/2025","1,822.20","1,829.00","1,843.10","1,808.20","1.28M","-0.62%"
"01/23/2025","1,833.60","1,788.10","1,839.75","1,786.05","1.97M","1.93%"
"01/22/2025","1,798.95","1,777.00","1,803.60","1,773.85","2.26M","2.06%"
"01/21/2025","1,762.70","1,772.10","1,805.75","1,759.50","2.49M","-0.87%"
"01/20/2025","1,778.25","1,789.35","1,800.45","1,768.30","1.34M","-0.46%"
