"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","3,778.90","3,761.50","3,782.50","3,751.95","1.62M","-0.14%"
"02/19/2025","3,784.10","3,872.20","3,874.95","3,768.15","4.37M","-2.30%"
"02/18/2025","3,873.20","3,898.40","3,924.40","3,864.50","2.15M","-0.80%"
"02/17/2025","3,904.50","3,856.50","3,934.00","3,856.20","1.80M","-0.77%"
"02/14/2025","3,934.85","3,925.00","3,948.00","3,900.00","1.68M","0.63%"
"02/13/2025","3,910.15","3,968.00","3,984.45","3,902.25","2.28M","-1.01%"
"02/12/2025","3,950.15","3,971.10","4,021.75","3,940.15","1.68M","-0.34%"
"02/11/2025","3,963.55","4,018.40","4,040.00","3,955.00","1.81M","-1.82%"
"02/10/2025","4,036.95","4,040.00","4,052.00","4,014.35","1.34M","0.19%"
"02/07/2025","4,029.40","4,090.00","4,090.00","4,008.00","1.55M","-1.31%"
"02/06/2025","4,082.75","4,105.40","4,139.50","4,051.55","2.28M","-0.20%"
"02/05/2025","4,091.10","4,150.00","4,150.00","4,076.00","1.69M","-0.39%"
"02/04/2025","4,107.05","4,083.70","4,118.85","4,066.05","2.55M","0.94%"
"02/03/2025","4,068.65","4,030.90","4,077.00","3,998.70","1.27M","-0.11%"
"02/01/2025","4,073.15","4,113.00","4,135.90","4,056.00","437.17K","-0.95%"
"01/31/2025","4,112.40","4,110.00","4,128.45","4,085.25","1.49M","0.30%"
"01/30/2025","4,100.05","4,099.90","4,129.90","4,058.50","1.53M","0.01%"
"01/29/2025","4,099.80","4,054.00","4,107.85","4,054.00","1.22M","1.47%"
"01/28/2025","4,040.30","4,070.80","4,102.00","4,028.30","2.47M","-0.61%"
"01/27/2025","4,065.15","4,102.00","4,156.35","4,041.05","1.55M","-2.10%"
"01/24/2025","4,152.35","4,104.00","4,178.00","4,104.00","1.91M","0.17%"
"01/23/2025","4,145.45","4,168.00","4,191.35","4,140.05","1.82M","-0.27%"
"01/22/2025","4,156.60","4,050.00","4,163.15","4,044.20","2.41M","2.99%"
"01/21/2025","4,035.85","4,095.30","4,111.00","4,030.00","1.97M","-1.03%"
"01/20/2025","4,077.80","4,145.80","4,145.80","4,068.10","1.29M","-1.13%"
