"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 20, 2025","689.95","680.00","693.85","676.50","10.44M","1.12%"
"Feb 19, 2025","682.30","681.00","691.45","678.45","13.83M","-0.10%"
"Feb 18, 2025","683.00","687.95","687.95","672.00","12.38M","-0.83%"
"Feb 17, 2025","688.75","678.25","692.50","667.70","12.22M","1.16%"
"Feb 14, 2025","680.85","688.00","692.50","669.50","11.90M","-0.62%"
"Feb 13, 2025","685.10","686.00","694.50","681.00","9.85M","-0.02%"
"Feb 12, 2025","685.25","678.20","688.90","669.50","15.67M","0.94%"
"Feb 11, 2025","678.90","696.55","699.25","676.25","12.25M","-2.59%"
"Feb 10, 2025","696.95","709.65","709.65","694.00","12.04M","-1.79%"
"Feb 07, 2025","709.65","715.25","719.15","705.60","11.90M","-0.49%"
"Feb 06, 2025","713.15","723.50","727.05","711.60","11.00M","-0.93%"
"Feb 05, 2025","719.85","715.00","727.45","713.05","16.15M","0.86%"
"Feb 04, 2025","713.70","704.90","715.75","696.00","22.57M","3.27%"
"Feb 03, 2025","691.10","700.50","702.50","687.70","18.27M","-2.48%"
"Feb 01, 2025","708.70","717.50","726.60","703.50","19.07M","-1.47%"
"Jan 31, 2025","719.30","706.65","720.80","698.00","28.07M","3.22%"
"Jan 30, 2025","696.85","721.30","721.30","678.00","37.79M","-7.40%"
"Jan 29, 2025","752.55","731.55","756.00","725.85","30.54M","3.21%"
"Jan 28, 2025","729.15","715.45","740.50","708.75","31.31M","2.32%"
"Jan 27, 2025","712.65","730.00","731.40","708.35","28.83M","-3.05%"
"Jan 24, 2025","735.05","748.00","755.10","733.15","13.53M","-2.39%"
"Jan 23, 2025","753.05","742.50","760.85","740.50","14.33M","1.11%"
"Jan 22, 2025","744.75","761.00","765.55","731.80","17.76M","-2.16%"
"Jan 21, 2025","761.20","776.90","788.90","758.80","19.05M","-2.03%"
"Jan 20, 2025","776.95","783.00","785.20","768.15","10.91M","-0.69%"
"Jan 17, 2025","782.35","776.05","788.30","775.00","9.61M","0.64%"
"Jan 16, 2025","777.40","780.00","784.00","769.60","13.77M","1.45%"
"Jan 15, 2025","766.30","774.35","779.25","759.00","11.19M","-0.95%"
"Jan 14, 2025","773.65","757.05","781.25","756.60","15.56M","2.61%"
"Jan 13, 2025","753.95","769.75","776.10","751.95","14.94M","-2.99%"
"Jan 10, 2025","777.15","785.00","790.95","770.00","16.62M","-0.85%"
"Jan 09, 2025","783.80","800.00","812.00","770.75","31.90M","-1.69%"
"Jan 08, 2025","797.25","795.00","799.00","785.30","18.05M","0.20%"
"Jan 07, 2025","795.65","778.50","799.65","774.45","23.81M","2.12%"
"Jan 06, 2025","779.10","796.50","800.00","767.25","30.45M","-1.85%"
"Jan 03, 2025","793.80","768.90","804.65","764.35","36.43M","3.22%"
"Jan 02, 2025","769.05","761.00","771.00","752.40","25.50M","2.19%"
