"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","137.48","135.27","137.75","135.02","12.59M","1.27%"
"02/19/2025","135.76","134.50","136.88","133.03","18.45M","0.91%"
"02/18/2025","134.54","134.29","134.90","131.75","23.96M","0.19%"
"02/17/2025","134.29","132.91","134.80","130.73","21.19M","-0.13%"
"02/14/2025","134.47","136.25","139.25","133.33","41.47M","-1.31%"
"02/13/2025","136.25","132.28","137.69","131.86","52.04M","3.00%"
"02/12/2025","132.28","129.35","133.29","128.31","37.93M","1.67%"
"02/11/2025","130.11","133.00","134.34","129.70","23.64M","-2.93%"
"02/10/2025","134.04","138.10","138.10","133.00","26.12M","-3.09%"
"02/07/2025","138.31","133.30","138.75","132.56","52.95M","4.35%"
"02/06/2025","132.54","134.50","134.87","132.02","22.41M","-1.38%"
"02/05/2025","134.40","133.15","135.39","133.08","16.96M","0.73%"
"02/04/2025","133.42","132.80","134.34","131.87","25.03M","1.21%"
"02/03/2025","131.82","131.29","132.51","127.81","27.77M","-0.86%"
"02/01/2025","132.97","135.00","135.50","130.25","21.17M","-1.23%"
"01/31/2025","134.62","131.12","135.00","129.93","26.69M","2.67%"
"01/30/2025","131.12","130.80","132.15","130.10","25.26M","0.24%"
"01/29/2025","130.80","129.00","131.34","128.55","16.67M","1.69%"
"01/28/2025","128.62","126.37","130.49","124.74","40.37M","1.78%"
"01/27/2025","126.37","129.02","129.45","125.74","24.65M","-2.60%"
"01/24/2025","129.74","130.50","133.20","129.31","37.09M","-0.48%"
"01/23/2025","130.37","127.85","130.75","127.70","20.72M","1.12%"
"01/22/2025","128.92","130.25","130.35","127.12","27.51M","-0.60%"
"01/21/2025","129.70","132.06","132.40","129.25","32.24M","-1.49%"
"01/20/2025","131.66","130.99","132.10","128.91","20.57M","1.06%"
"01/17/2025","130.28","127.90","131.16","127.64","27.42M","1.93%"
"01/16/2025","127.81","128.00","128.47","126.56","22.16M","1.01%"
"01/15/2025","126.53","128.00","128.31","125.78","18.77M","-0.32%"
"01/14/2025","126.93","122.94","127.64","122.94","36.88M","3.25%"
"01/13/2025","122.93","126.00","126.50","122.62","38.97M","-3.53%"
"01/10/2025","127.43","129.93","130.39","126.70","34.86M","-1.92%"
"01/09/2025","129.93","132.00","132.40","129.70","31.90M","-2.04%"
"01/08/2025","132.64","133.93","134.24","131.77","31.57M","-0.55%"
"01/07/2025","133.38","132.78","133.88","132.01","24.24M","0.91%"
"01/06/2025","132.18","138.36","138.39","131.35","44.62M","-4.47%"
"01/03/2025","138.36","138.18","139.73","137.84","23.35M","0.13%"
"01/02/2025","138.18","137.00","138.45","136.40","23.39M","1.05%"
"01/01/2025","136.74","138.10","138.45","136.58","18.17M","-0.95%"
"12/31/2024","138.05","136.87","138.68","136.56","20.08M","0.85%"
"12/30/2024","136.88","138.91","139.25","136.09","32.56M","-1.46%"
"12/27/2024","138.91","140.70","141.75","138.61","19.56M","-1.03%"
"12/26/2024","140.36","140.95","141.15","139.51","23.94M","-0.01%"
"12/24/2024","140.38","141.20","141.50","139.25","25.88M","-0.94%"
"12/23/2024","141.71","142.45","143.80","140.61","27.51M","0.73%"
"12/20/2024","140.68","142.89","144.40","140.00","46.50M","-1.80%"
"12/19/2024","143.26","141.55","143.80","141.10","27.10M","-0.83%"
"12/18/2024","144.46","146.00","146.90","143.30","19.85M","-0.84%"
"12/17/2024","145.68","147.79","148.50","145.33","27.11M","-1.43%"
"12/16/2024","147.79","148.94","149.80","147.10","22.63M","-0.78%"
"12/13/2024","148.95","150.00","150.05","145.55","39.70M","-1.21%"
"12/12/2024","150.78","150.87","151.63","148.70","25.76M","0.12%"
"12/11/2024","150.60","150.59","152.11","150.06","20.50M","0.19%"
"12/10/2024","150.32","150.19","152.50","149.31","36.28M","0.29%"
"12/09/2024","149.88","148.29","150.67","146.63","39.06M","1.07%"
"12/06/2024","148.29","147.50","148.68","146.60","30.60M","0.83%"
"12/05/2024","147.07","146.50","147.88","144.80","36.33M","0.84%"
"12/04/2024","145.85","147.00","147.05","144.00","38.54M","-0.47%"
"12/03/2024","146.54","146.75","148.20","146.34","35.53M","0.09%"
"12/02/2024","146.41","144.11","146.83","143.14","23.84M","1.29%"
"11/29/2024","144.54","143.90","145.49","143.05","29.74M","0.80%"
"11/28/2024","143.39","144.00","145.25","143.09","30.95M","-0.79%"
"11/27/2024","144.53","144.31","144.90","142.90","24.90M","0.04%"
"11/26/2024","144.47","144.22","145.80","143.58","25.61M","0.56%"
"11/25/2024","143.67","144.94","146.15","142.84","53.88M","0.62%"
"11/22/2024","142.78","140.15","143.19","139.65","43.71M","1.83%"
"11/21/2024","140.22","139.50","141.60","137.25","58.40M","0.54%"
"11/19/2024","139.46","142.00","142.49","139.06","37.61M","-1.24%"
"11/18/2024","141.21","139.49","143.25","138.00","40.23M","2.34%"
"11/14/2024","137.98","139.71","140.73","137.50","36.35M","-0.86%"
"11/13/2024","139.17","143.60","143.60","138.60","57.61M","-3.47%"
"11/12/2024","144.17","145.65","147.13","143.60","28.86M","-0.58%"
"11/11/2024","145.01","147.57","147.69","144.10","47.50M","-1.73%"
"11/08/2024","147.57","152.00","152.00","146.94","61.98M","-2.24%"
"11/07/2024","150.95","156.11","156.92","150.20","88.25M","-1.74%"
"11/06/2024","153.62","154.00","154.95","149.59","48.93M","0.87%"
"11/05/2024","152.29","147.00","152.55","146.95","42.77M","3.63%"
"11/04/2024","146.95","150.00","150.00","145.10","25.57M","-1.87%"
"11/01/2024","149.75","149.66","150.25","149.00","5.11M","0.80%"
"10/31/2024","148.56","149.08","149.95","148.20","26.38M","-0.28%"
"10/30/2024","148.97","148.10","150.95","148.10","21.36M","-0.73%"
"10/29/2024","150.06","149.85","150.45","146.55","32.26M","0.46%"
"10/28/2024","149.38","146.00","149.73","144.73","28.39M","2.41%"
"10/25/2024","145.86","149.00","149.50","144.43","39.73M","-2.09%"
"10/24/2024","148.98","149.49","149.83","148.01","22.12M","0.13%"
"10/23/2024","148.78","150.30","151.95","148.05","42.11M","-1.07%"
"10/22/2024","150.39","154.90","154.90","150.10","39.08M","-2.99%"
"10/21/2024","155.03","156.10","157.93","154.59","25.80M","-0.23%"
"10/18/2024","155.39","152.40","156.20","151.10","34.75M","1.96%"
"10/17/2024","152.40","155.65","156.30","152.10","28.40M","-1.83%"
"10/16/2024","155.24","155.19","156.55","154.02","28.52M","-0.25%"
"10/15/2024","155.63","159.50","159.53","155.05","38.96M","-1.70%"
"10/14/2024","158.32","161.88","163.38","158.04","35.57M","-1.46%"
"10/11/2024","160.66","159.30","163.78","159.20","53.26M","0.59%"
"10/10/2024","159.72","158.30","161.18","156.60","46.51M","0.41%"
"10/09/2024","159.06","159.52","162.20","158.11","42.77M","-0.29%"
"10/08/2024","159.52","163.00","163.59","156.70","74.96M","-2.94%"
"10/07/2024","164.36","167.10","167.95","162.33","48.78M","-1.43%"
"10/04/2024","166.75","167.00","169.10","164.00","53.88M","-0.14%"
"10/03/2024","166.98","165.50","169.99","164.52","75.96M","-0.03%"
"10/01/2024","167.03","169.49","169.49","165.10","50.76M","-0.90%"
"09/30/2024","168.55","167.50","170.18","167.26","92.38M","1.20%"
"09/27/2024","166.55","167.00","169.01","165.89","72.80M","0.57%"
"09/26/2024","165.61","162.00","165.90","160.48","88.66M","2.44%"
"09/25/2024","161.66","161.50","162.69","159.52","58.04M","0.70%"
"09/24/2024","160.53","155.15","161.50","154.85","137.41M","4.25%"
"09/23/2024","153.99","154.38","154.39","152.80","33.28M","1.30%"
"09/20/2024","152.02","151.00","153.34","150.65","53.87M","1.66%"
"09/19/2024","149.54","151.89","152.19","147.79","36.91M","-0.70%"
"09/18/2024","150.60","152.40","152.98","149.61","24.86M","-1.45%"
"09/17/2024","152.82","154.00","154.24","152.27","18.28M","-0.90%"
"09/16/2024","154.21","155.00","155.66","153.50","32.58M","0.47%"
"09/13/2024","153.49","152.78","155.40","152.50","54.89M","1.15%"
"09/12/2024","151.74","152.00","152.44","148.75","73.19M","2.41%"
"09/11/2024","148.17","149.90","150.20","147.62","24.63M","-0.84%"
"09/10/2024","149.42","150.50","151.59","148.81","41.61M","-0.03%"
"09/09/2024","149.47","150.90","150.90","148.05","32.62M","-1.16%"
"09/06/2024","151.22","151.94","152.90","149.65","30.71M","-0.33%"
"09/05/2024","151.72","151.00","152.79","151.00","28.35M","0.36%"
"09/04/2024","151.18","149.50","152.18","149.16","39.61M","-0.64%"
"09/03/2024","152.15","152.84","153.45","152.01","19.78M","-0.48%"
"09/02/2024","152.88","153.90","153.90","152.14","19.20M","0.08%"
"08/30/2024","152.76","153.00","155.25","152.47","55.13M","-0.14%"
"08/29/2024","152.97","153.21","153.56","151.20","44.45M","-0.47%"
"08/28/2024","153.70","154.70","155.00","153.05","25.20M","-0.65%"
"08/27/2024","154.70","155.80","156.50","154.60","24.52M","-0.64%"
"08/26/2024","155.70","154.61","156.40","153.70","32.50M","0.97%"
"08/23/2024","154.20","154.00","154.39","152.55","31.49M","0.04%"
"08/22/2024","154.14","152.51","154.35","152.51","36.72M","1.46%"
"08/21/2024","151.92","153.00","154.18","151.77","49.75M","-1.31%"
"08/20/2024","153.93","155.70","155.70","152.80","37.56M","-0.02%"
"08/19/2024","153.96","150.85","154.30","150.39","62.89M","2.97%"
"08/16/2024","149.52","148.00","150.00","146.46","54.13M","2.29%"
"08/14/2024","146.17","149.90","149.90","142.35","97.91M","-1.82%"
"08/13/2024","148.88","152.10","152.95","148.50","29.40M","-2.09%"
