"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","1,662.25","1,680.00","1,693.35","1,661.80","790.50K","-1.40%"
"02/19/2025","1,685.80","1,694.05","1,712.40","1,675.05","1.11M","-1.13%"
"02/18/2025","1,705.00","1,668.00","1,708.95","1,664.05","2.65M","2.41%"
"02/17/2025","1,664.95","1,655.90","1,667.95","1,631.00","1.11M","0.35%"
"02/14/2025","1,659.10","1,685.00","1,694.00","1,652.05","961.94K","-0.97%"
"02/13/2025","1,675.30","1,675.00","1,689.45","1,640.55","1.56M","-0.29%"
"02/12/2025","1,680.20","1,680.00","1,690.00","1,668.80","1.89M","0.67%"
"02/11/2025","1,669.10","1,706.00","1,709.00","1,663.20","1.80M","-1.76%"
"02/10/2025","1,699.05","1,683.00","1,703.75","1,673.20","1.24M","0.41%"
"02/07/2025","1,692.10","1,675.00","1,695.60","1,657.90","1.58M","1.35%"
"02/06/2025","1,669.60","1,670.00","1,684.70","1,650.00","1.29M","0.52%"
"02/05/2025","1,661.00","1,662.85","1,671.00","1,644.40","1.45M","0.12%"
"02/04/2025","1,659.05","1,662.75","1,676.95","1,645.05","1.47M","0.26%"
"02/03/2025","1,654.70","1,630.00","1,664.05","1,605.15","1.42M","0.50%"
"02/01/2025","1,646.40","1,674.50","1,685.90","1,636.70","410.47K","-1.68%"
"01/31/2025","1,674.45","1,675.00","1,695.00","1,665.25","1.07M","0.26%"
"01/30/2025","1,670.10","1,685.00","1,704.90","1,657.00","868.83K","-0.66%"
"01/29/2025","1,681.15","1,663.95","1,685.00","1,654.05","1.15M","1.99%"
"01/28/2025","1,648.35","1,655.95","1,664.65","1,638.00","1.82M","-0.34%"
"01/27/2025","1,653.90","1,710.00","1,713.90","1,645.00","1.17M","-4.01%"
"01/24/2025","1,723.05","1,719.00","1,736.40","1,705.35","1.26M","0.56%"
"01/23/2025","1,713.40","1,671.00","1,729.50","1,671.00","2.26M","1.75%"
"01/22/2025","1,683.95","1,642.70","1,688.75","1,635.25","2.48M","2.65%"
"01/21/2025","1,640.50","1,674.60","1,703.55","1,636.10","2.50M","-2.04%"
"01/20/2025","1,674.60","1,663.00","1,687.15","1,625.00","4.86M","0.86%"
