"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","3,197.00","3,210.00","3,218.65","3,189.40","323.41K","-0.41%"
"02/19/2025","3,210.30","3,220.00","3,253.65","3,191.80","521.95K","-0.36%"
"02/18/2025","3,221.85","3,234.80","3,244.00","3,192.30","592.64K","-0.35%"
"02/17/2025","3,233.20","3,195.25","3,238.50","3,176.00","712.61K","0.62%"
"02/14/2025","3,213.25","3,236.30","3,253.00","3,186.45","587.41K","-0.56%"
"02/13/2025","3,231.50","3,250.25","3,277.95","3,215.20","727.24K","-0.74%"
"02/12/2025","3,255.45","3,282.75","3,317.40","3,212.60","774.62K","-0.80%"
"02/11/2025","3,281.80","3,334.70","3,348.00","3,271.60","903.97K","-1.37%"
"02/10/2025","3,327.45","3,415.00","3,425.00","3,311.00","904.44K","-2.84%"
"02/07/2025","3,424.80","3,414.90","3,453.90","3,388.20","740.16K","0.41%"
"02/06/2025","3,410.75","3,490.90","3,504.25","3,397.85","1.06M","-2.30%"
"02/05/2025","3,490.90","3,596.00","3,652.00","3,472.20","2.17M","-2.97%"
"02/04/2025","3,597.70","3,590.00","3,614.00","3,520.00","1.28M","0.49%"
"02/03/2025","3,580.30","3,565.00","3,642.55","3,551.75","1.54M","0.80%"
"02/01/2025","3,552.00","3,527.00","3,635.15","3,408.00","2.19M","1.77%"
"01/31/2025","3,490.25","3,400.00","3,527.45","3,392.40","1.21M","3.62%"
"01/30/2025","3,368.40","3,370.65","3,390.00","3,345.20","688.61K","-0.07%"
"01/29/2025","3,370.75","3,339.20","3,375.00","3,309.05","570.14K","1.35%"
"01/28/2025","3,325.90","3,319.35","3,370.85","3,299.55","579.96K","0.20%"
"01/27/2025","3,319.35","3,388.00","3,401.95","3,307.25","618.31K","-2.43%"
"01/24/2025","3,402.15","3,407.00","3,447.65","3,380.45","564.24K","0.11%"
"01/23/2025","3,398.55","3,356.45","3,433.00","3,325.50","713.60K","1.25%"
"01/22/2025","3,356.45","3,354.80","3,385.00","3,334.65","598.33K","0.09%"
"01/21/2025","3,353.35","3,400.95","3,412.70","3,335.15","1.02M","-0.85%"
"01/20/2025","3,382.25","3,374.10","3,407.70","3,347.50","722.34K","0.74%"
"01/17/2025","3,357.40","3,319.90","3,368.00","3,285.05","559.15K","1.22%"
"01/16/2025","3,316.90","3,327.00","3,338.85","3,282.00","1.17M","-0.20%"
"01/15/2025","3,323.50","3,322.00","3,340.50","3,283.00","1.17M","0.03%"
"01/14/2025","3,322.50","3,400.00","3,429.00","3,310.00","1.13M","-1.78%"
"01/13/2025","3,382.75","3,380.00","3,467.00","3,352.50","1.28M","-1.67%"
"01/10/2025","3,440.25","3,462.00","3,488.00","3,428.75","570.06K","-1.34%"
"01/09/2025","3,487.05","3,485.95","3,506.45","3,461.55","826.24K","0.09%"
"01/08/2025","3,484.05","3,487.65","3,514.50","3,391.30","1.32M","-0.60%"
"01/07/2025","3,505.10","3,490.00","3,576.70","3,485.00","2.39M","1.00%"
"01/06/2025","3,470.40","3,490.00","3,528.50","3,441.20","2.15M","0.54%"
"01/03/2025","3,451.65","3,395.00","3,481.95","3,377.95","1.63M","1.85%"
