"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","313.30","311.20","314.25","310.60","4.51M","-0.25%"
"02/19/2025","314.10","311.25","316.50","308.30","7.84M","0.61%"
"02/18/2025","312.20","305.35","312.75","305.35","10.37M","2.24%"
"02/17/2025","305.35","308.10","310.30","302.00","7.51M","-0.89%"
"02/14/2025","308.10","310.05","312.40","304.55","7.37M","-0.15%"
"02/13/2025","308.55","310.30","313.65","306.95","8.83M","-0.53%"
"02/12/2025","310.20","313.45","315.75","309.35","9.67M","-0.89%"
"02/11/2025","313.00","319.50","320.40","311.60","10.63M","-1.90%"
"02/10/2025","319.05","318.80","321.00","315.85","12.30M","0.33%"
"02/07/2025","318.00","319.00","319.00","314.00","8.59M","0.02%"
"02/06/2025","317.95","320.00","323.60","314.55","15.06M","0.27%"
"02/05/2025","317.10","317.80","321.45","314.90","9.63M","0.27%"
"02/04/2025","316.25","318.00","318.85","313.35","15.37M","0.85%"
"02/03/2025","313.60","303.00","314.00","300.30","14.88M","2.89%"
"02/01/2025","304.80","312.55","313.25","303.35","6.05M","-2.28%"
"01/31/2025","311.90","311.70","315.70","309.55","15.60M","0.94%"
"01/30/2025","309.00","311.00","313.70","305.95","9.98M","-1.10%"
"01/29/2025","312.45","305.05","314.70","305.05","16.34M","2.92%"
"01/28/2025","303.60","304.00","307.60","301.55","12.08M","-1.41%"
"01/27/2025","307.95","317.80","319.15","306.75","12.37M","-3.80%"
"01/24/2025","320.10","319.00","322.50","316.60","17.48M","0.76%"
"01/23/2025","317.70","311.10","324.60","310.65","39.90M","2.78%"
"01/22/2025","309.10","299.35","310.00","299.35","30.86M","3.60%"
"01/21/2025","298.35","302.40","305.85","297.80","15.62M","-0.63%"
"01/20/2025","300.25","302.00","305.40","296.95","39.38M","6.49%"
